"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 24";"0";"0";"2729";"1953";"0";"0";"3.57";"3.99";"-";"-";"-"
"2";"P 24";"13";"13";"2321";"1688";"0";"0";"3.56";"0";"-";"-";"100%"
"3";"P 24";"41";"27";"1552";"1276";"0";"0";"3.49";"0";"-";"-";"100%,25%,50%"
"4";"P 24";"55";"13";"1698";"1303";"0";"0";"3.5";"3.99";"-";"-";"10%,100%,25%,50%"
"5";"P 24";"68";"13";"1641";"1286";"0";"0";"3.48";"3.99";"-";"-";"100%,25%,50%"
"6";"P 24";"82";"13";"1651";"1296";"0";"0";"3.5";"3.99";"-";"-";"100%,25%,50%"
"7";"P 24";"96";"13";"1641";"1349";"0";"0";"3.45";"3.99";"-";"-";"100%,25%,50%"
"8";"P 24";"110";"13";"1588";"1363";"0";"0";"0";"3.98";"-";"-";"100%,25%,50%"
"9";"P 24";"124";"13";"1651";"1303";"0";"0";"3.49";"4.04";"-";"-";"100%,25%,50%"
"10";"P 24";"137";"13";"1638";"1280";"0";"0";"3.48";"3.98";"-";"-";"100%,25%,50%"
"11";"P 24";"151";"13";"1638";"1290";"0";"0";"3.47";"4";"-";"-";"100%,25%,50%"
"12";"P 24";"165";"13";"1684";"1296";"0";"0";"3.48";"4.03";"-";"-";"10%,100%,25%,50%"
"13";"P 24";"179";"14";"1771";"1343";"0";"0";"3.49";"3.99";"-";"-";"10%,100%,25%,50%"
"14";"P 24";"194";"14";"1708";"1306";"0";"0";"3.48";"3.98";"-";"-";"10%,100%,25%,50%"
"15";"P 24";"206";"12";"1668";"1323";"0";"0";"3.51";"3.99";"-";"-";"100%,25%,50%"
"16";"P 24";"220";"14";"1651";"1386";"0";"0";"3.54";"3.98";"-";"-";"100%,25%,50%"
"17";"P 24";"234";"13";"1648";"1356";"0";"0";"3.47";"3.97";"-";"-";"100%,25%,50%"
"18";"P 24";"248";"13";"1691";"1104";"0";"0";"3.51";"3.98";"-";"-";"100%,25%,50%"
"19";"P 24";"262";"13";"1777";"1276";"0";"0";"3.46";"3.9";"-";"-";"10%,100%,25%,50%"
"20";"P 24";"276";"13";"1615";"1379";"0";"0";"0";"3.94";"-";"-";"100%,25%,50%"
"21";"P 24";"289";"13";"1688";"1353";"0";"0";"3.49";"3.91";"-";"-";"100%,25%,50%"
"22";"P 24";"303";"13";"1754";"1313";"0";"0";"3.5";"3.91";"-";"-";"10%,100%,25%,50%"
"23";"P 24";"317";"13";"1678";"1346";"0";"0";"3.43";"0";"-";"-";"100%,25%,50%"
"24";"P 24";"331";"14";"1781";"1300";"0";"0";"3.44";"3.86";"-";"-";"10%,100%,25%,50%"
"25";"P 24";"344";"13";"1678";"1330";"0";"0";"3.42";"3.85";"-";"-";"100%,25%,50%"
"26";"P 24";"358";"14";"1678";"1339";"0";"0";"3.42";"3.81";"-";"-";"100%,25%,50%"
"27";"P 24";"372";"13";"1671";"1373";"0";"0";"3.45";"0";"-";"-";"100%,25%,50%"
"28";"P 24";"386";"14";"1635";"1283";"0";"0";"3.35";"0";"-";"-";"100%,25%,50%"
"29";"P 24";"400";"13";"1664";"1330";"0";"0";"3.34";"0";"-";"-";"100%,25%,50%"
"30";"P 24";"414";"13";"1757";"1323";"0";"0";"3.34";"3.81";"-";"-";"10%,100%,25%,50%"
"31";"P 24";"427";"13";"1757";"1339";"0";"0";"3.38";"0";"-";"-";"10%,100%,25%,50%"
"32";"P 24";"441";"13";"1737";"1300";"0";"0";"3.3";"0";"-";"-";"10%,100%,25%,50%"
"33";"P 24";"455";"14";"1824";"1303";"0";"0";"3.33";"3.72";"-";"-";"10%,100%,25%,50%"
"34";"P 24";"469";"13";"1810";"1220";"0";"0";"3.26";"3.69";"-";"-";"10%,100%,25%,50%"
"35";"P 24";"482";"13";"1754";"1230";"0";"0";"3.22";"0";"-";"-";"10%,100%,25%,50%"
"36";"P 24";"497";"14";"1800";"1263";"0";"0";"3.22";"0";"-";"-";"10%,100%,25%,50%"
"37";"P 24";"510";"13";"1794";"1243";"0";"0";"3.16";"3.48";"-";"-";"10%,100%,25%,50%"
"38";"P 24";"524";"13";"1820";"1220";"0";"0";"3.12";"3.46";"-";"-";"10%,100%,25%,50%"
"39";"P 24";"538";"13";"1797";"1227";"0";"0";"3.05";"0";"-";"-";"10%,100%,25%,50%"
"40";"P 24";"551";"13";"1817";"1263";"0";"0";"3.07";"0";"-";"-";"10%,100%,25%,50%"
"41";"P 24";"565";"13";"1787";"1240";"0";"0";"3.04";"0";"-";"-";"10%,100%,25%,50%"
"42";"P 24";"579";"14";"1771";"1207";"0";"0";"2.95";"0";"-";"-";"10%,100%,25%,50%"
"43";"P 24";"593";"13";"1807";"1210";"0";"0";"2.88";"0";"-";"-";"10%,100%,25%,50%"
"44";"P 24";"607";"13";"1761";"1247";"0";"0";"2.89";"0";"-";"-";"10%,100%,25%,50%"
"45";"P 24";"620";"13";"1777";"1233";"0";"0";"2.85";"0";"-";"-";"10%,100%,25%,50%"
"46";"P 24";"634";"13";"1787";"1263";"0";"0";"2.79";"0";"-";"-";"10%,100%,25%,50%"
"47";"P 24";"648";"13";"1794";"1263";"0";"0";"2.77";"0";"-";"-";"10%,100%,25%,50%"
"48";"P 24";"662";"13";"1787";"1247";"0";"0";"2.7";"0";"-";"-";"10%,100%,25%,50%"
"49";"P 24";"675";"13";"1754";"1233";"0";"0";"2.67";"2.91";"-";"-";"10%,100%,25%,50%"
"50";"P 24";"689";"14";"1800";"1233";"0";"0";"2.68";"0";"-";"-";"10%,100%,25%,50%"
"51";"P 24";"703";"13";"1804";"1213";"0";"0";"2.65";"0";"-";"-";"10%,100%,25%,50%"
"52";"P 24";"717";"13";"1814";"1210";"0";"0";"2.57";"0";"-";"-";"10%,100%,25%,50%"
"53";"P 24";"731";"13";"1790";"1213";"0";"0";"2.56";"0";"-";"-";"10%,100%,25%,50%"
"54";"P 24";"745";"13";"1787";"1237";"0";"0";"2.58";"0";"-";"-";"10%,100%,25%,50%"
"55";"P 24";"758";"13";"1807";"1263";"0";"0";"2.58";"0";"-";"-";"10%,100%,25%,50%"
"56";"P 24";"786";"27";"1787";"1290";"0";"0";"2.58";"2.42";"-";"-";"10%,100%,25%,50%"
"57";"P 24";"800";"13";"1804";"1190";"0";"0";"2.5";"0";"-";"-";"10%,100%,25%,50%"
"58";"P 24";"813";"13";"1800";"1227";"0";"0";"2.47";"2.74";"-";"-";"10%,100%,25%,50%"
"59";"P 24";"827";"14";"1790";"1184";"0";"0";"2.49";"0";"-";"-";"10%,100%,25%,50%"
"60";"P 24";"841";"13";"1814";"1243";"0";"0";"2.48";"0";"-";"-";"10%,100%,25%,50%"
