"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 12-1";"0";"0";"1946";"2188";"0";"0";"4.9";"0";"1926";"1021";"100%"
"2";"P 12-1";"55";"55";"1800";"1780";"0";"0";"4.92";"0";"2725";"1575";"100%,50%"
"3";"P 12-1";"68";"13";"1834";"1412";"0";"0";"4.94";"4.92";"2725";"1575";"100%,25%,50%"
"4";"P 12-1";"82";"13";"1790";"1101";"0";"0";"4.84";"0";"2725";"1575";"100%,25%,50%"
"5";"P 12-1";"96";"13";"1731";"1502";"0";"0";"4.98";"4.85";"2725";"1575";"100%,25%,50%"
"6";"P 12-1";"110";"14";"1737";"1426";"0";"0";"4.75";"0";"2725";"1575";"100%,25%,50%"
"7";"P 12-1";"124";"13";"1718";"1121";"0";"0";"-1";"4.85";"2725";"1575";"100%,25%,50%"
"8";"P 12-1";"138";"13";"1731";"1525";"0";"0";"4.7";"0";"2725";"1575";"100%,25%,50%"
"9";"P 12-1";"151";"13";"1711";"1635";"0";"0";"4.72";"0";"2725";"1575";"100%,50%"
"10";"P 12-1";"165";"14";"1714";"1439";"0";"0";"4.55";"4.56";"2725";"1575";"100%,25%,50%"
"11";"P 12-1";"179";"13";"1691";"1469";"0";"0";"4.62";"4.59";"2725";"1575";"100%,25%,50%"
"12";"P 12-1";"193";"13";"1664";"1376";"0";"0";"4.47";"0";"2725";"1575";"100%,25%,50%"
"13";"P 12-1";"206";"13";"1731";"1393";"0";"0";"4.39";"0";"2725";"1575";"100%,25%,50%"
"14";"P 12-1";"220";"13";"1701";"1333";"0";"0";"4.45";"0";"2725";"1575";"10%,100%,25%,50%"
"15";"P 12-1";"234";"13";"1751";"1306";"0";"0";"4.29";"0";"2725";"1575";"10%,100%,25%,50%"
"16";"P 12-1";"248";"13";"1724";"1323";"0";"0";"4.24";"4.37";"2725";"1575";"10%,100%,25%,50%"
"17";"P 12-1";"262";"13";"1777";"1316";"0";"0";"4.25";"0";"2725";"1575";"10%,100%,25%,50%"
"18";"P 12-1";"289";"27";"1771";"1339";"0";"0";"4.22";"0";"2725";"1575";"10%,100%,25%,50%"
