"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 29";"0";"0";"1744";"1121";"0";"0";"0";"3.13";"2056";"1031";"100%,25%,50%"
"2";"P 29";"635";"635";"1850";"1283";"0";"0";"3.13";"2.11";"2905";"1359";"10%,100%,25%,50%"
"3";"P 29";"662";"26";"1777";"749";"0";"0";"0";"3.02";"2905";"1359";"100%,50%"
"4";"P 29";"675";"13";"1903";"839";"0";"0";"3.47";"0";"2905";"1359";"100%,50%"
"5";"P 29";"688";"13";"1883";"743";"0";"0";"3.43";"0";"2905";"1359";"100%,50%"
"6";"P 29";"715";"26";"1877";"713";"0";"0";"3.48";"0";"2905";"1359";"100%,50%"
"7";"P 29";"1139";"424";"2832";"534";"0";"0";"3.43";"0";"2905";"1359";"-"
"8";"P 29";"1192";"52";"1790";"1240";"0";"0";"3.33";"0";"2905";"1359";"10%,100%,25%,50%"
"9";"P 29";"1231";"39";"1790";"1323";"0";"0";"3.41";"0";"2905";"1359";"10%,100%,25%,50%"
"10";"P 29";"1285";"53";"2198";"2308";"0";"0";"0";"3.74";"2905";"1359";"100%"
"11";"P 29";"1311";"26";"1800";"1240";"0";"0";"3.46";"0";"2905";"1359";"10%,100%,25%,50%"
"12";"P 29";"1324";"13";"1794";"1144";"0";"0";"3.47";"0";"2905";"1359";"10%,100%,25%,50%"
"13";"P 29";"1378";"53";"1837";"1737";"0";"0";"4.1";"0";"2905";"1359";"100%,50%"
"14";"P 29";"1417";"39";"1950";"1495";"0";"0";"3.55";"0";"2905";"1359";"100%,50%"
"15";"P 29";"1444";"26";"1863";"1804";"0";"0";"4.16";"0";"2905";"1359";"100%,50%"
"16";"P 29";"1470";"26";"1794";"1121";"0";"0";"3.48";"0";"2905";"1359";"100%,25%,50%"
"17";"P 29";"1537";"66";"1867";"1164";"0";"0";"3.39";"0";"2905";"1359";"100%,25%,50%"
"18";"P 29";"1563";"26";"1794";"1131";"0";"0";"3.32";"3.07";"2905";"1359";"10%,100%,25%,50%"
"19";"P 29";"1576";"13";"1877";"1111";"0";"0";"3.4";"0";"2905";"1359";"100%,25%,50%"
"20";"P 29";"1590";"13";"1880";"1068";"0";"0";"3.33";"0";"2905";"1359";"100%,25%,50%"
"21";"P 29";"1616";"26";"1873";"912";"0";"0";"-1";"3.05";"2905";"1359";"100%,50%"
"22";"P 29";"1643";"26";"1890";"1177";"0";"0";"3.3";"0";"2905";"1359";"100%,25%,50%"
"23";"P 29";"1656";"13";"1847";"1084";"0";"0";"3.29";"3.01";"2905";"1359";"100%,25%,50%"
"24";"P 29";"1669";"13";"1840";"1101";"0";"0";"3.32";"3.03";"2905";"1359";"100%,25%,50%"
"25";"P 29";"1683";"13";"1863";"1101";"0";"0";"3.35";"2.98";"2905";"1359";"100%,25%,50%"
"26";"P 29";"1696";"12";"1870";"1071";"0";"0";"3.32";"2.98";"2905";"1359";"100%,25%,50%"
"27";"P 29";"1709";"13";"1847";"1051";"0";"0";"3.3";"3.01";"2905";"1359";"100%,25%,50%"
"28";"P 29";"1722";"13";"1857";"1044";"0";"0";"3.3";"2.94";"2905";"1359";"100%,25%,50%"
"29";"P 29";"1736";"13";"1880";"1051";"0";"0";"3.27";"3";"2905";"1359";"100%,25%,50%"
"30";"P 29";"1749";"13";"1873";"1097";"0";"0";"3.28";"0";"2905";"1359";"100%,25%,50%"
