"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 48";"0";"0";"2165";"965";"0";"0";"3.8";"0";"2076";"1031";"100%,50%"
"2";"P 48";"1055";"1055";"1340";"1376";"0";"0";"3.7";"0";"2079";"1051";"100%,50%"
"3";"P 48";"1069";"14";"1409";"1446";"0";"0";"3.66";"3.68";"2079";"1051";"100%,50%"
"4";"P 48";"1083";"14";"1406";"1339";"0";"0";"3.53";"0";"2079";"1051";"100%,50%"
"5";"P 48";"1097";"13";"1403";"1383";"0";"0";"3.55";"3.59";"2079";"1051";"100%,50%"
"6";"P 48";"1154";"56";"1396";"1432";"0";"0";"3.46";"0";"2079";"1051";"100%,50%"
"7";"P 48";"1168";"13";"1412";"1409";"0";"0";"3.48";"0";"2079";"1051";"100%,50%"
"8";"P 48";"1181";"13";"1522";"1389";"0";"0";"0";"3.49";"2079";"1051";"100%,25%,50%"
"9";"P 48";"1210";"28";"1820";"1336";"0";"0";"0";"3.4";"2079";"1051";"10%,100%,25%,50%"
"10";"P 48";"1224";"14";"1678";"1326";"0";"0";"0";"3.35";"2079";"1051";"100%,25%,50%"
"11";"P 48";"1238";"13";"2006";"1276";"0";"0";"0";"3.44";"2079";"1051";"100%,25%,50%"
"12";"P 48";"1252";"14";"2029";"1257";"0";"0";"0";"3.39";"2079";"1051";"100%,25%,50%"
"13";"P 48";"1280";"28";"1973";"1131";"0";"0";"0";"3.33";"2079";"1051";"100%,25%,50%"
"14";"P 48";"1351";"70";"1847";"1190";"0";"0";"0";"3.23";"2079";"1051";"10%,100%,25%,50%"
"15";"P 48";"1407";"56";"1926";"1542";"0";"0";"0";"3.44";"2079";"1051";"100%,50%"
"16";"P 48";"1435";"28";"1840";"1157";"0";"0";"0";"3.12";"2079";"1051";"100%,25%,50%"
"17";"P 48";"1463";"28";"1916";"66";"0";"0";"0";"-1";"2079";"1051";"100%"
"18";"P 48";"1491";"27";"1893";"1124";"0";"0";"0";"3.07";"2079";"1051";"100%,25%,50%"
"19";"P 48";"1520";"28";"1910";"1111";"0";"0";"0";"3.03";"2079";"1051";"100%,25%,50%"
"20";"P 48";"1547";"27";"1867";"1121";"0";"0";"0";"2.97";"2079";"1051";"100%,25%,50%"
"21";"P 48";"1562";"14";"1844";"1137";"0";"0";"0";"3.04";"2079";"1051";"100%,25%,50%"
"22";"P 48";"1590";"28";"1870";"1104";"0";"0";"0";"2.96";"2079";"1051";"100%,25%,50%"
"23";"P 48";"1618";"28";"1867";"1157";"0";"0";"0";"2.97";"2079";"1051";"100%,25%,50%"
"24";"P 48";"1646";"28";"1867";"1127";"0";"0";"0";"2.96";"2079";"1051";"100%,25%,50%"
"25";"P 48";"1702";"56";"1863";"1210";"0";"0";"0";"3.04";"2079";"1051";"10%,100%,25%,50%"
"26";"P 48";"1731";"28";"1877";"1243";"0";"0";"0";"2.99";"2079";"1051";"100%,25%,50%"
