"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 46";"0";"0";"1790";"2102";"0";"0";"6.9";"6.39";"-";"-";"100%"
"2";"P 46";"13";"13";"1807";"1817";"0";"0";"6.94";"6.4";"-";"-";"100%,50%"
"3";"P 46";"28";"14";"1827";"1661";"0";"0";"6.9";"6.42";"-";"-";"100%,50%"
"4";"P 46";"42";"14";"1857";"1366";"0";"0";"6.86";"6.35";"-";"-";"100%,25%,50%"
"5";"P 46";"56";"14";"1790";"1343";"0";"0";"6.85";"6.33";"-";"-";"10%,100%,25%,50%"
"6";"P 46";"70";"13";"1827";"1320";"0";"0";"6.78";"6.31";"-";"-";"10%,100%,25%,50%"
"7";"P 46";"84";"14";"1751";"1621";"0";"0";"0";"6.19";"-";"-";"100%,50%"
"8";"P 46";"98";"14";"1810";"1101";"0";"0";"6.62";"6.23";"-";"-";"100%,25%,50%"
"9";"P 46";"112";"13";"1774";"1141";"0";"0";"6.48";"6.08";"-";"-";"10%,100%,25%,50%"
"10";"P 46";"126";"14";"1767";"676";"0";"0";"6.45";"6.01";"-";"-";"100%,50%"
"11";"P 46";"140";"14";"1767";"1041";"0";"0";"6.39";"5.96";"-";"-";"100%,25%,50%"
"12";"P 46";"153";"12";"1804";"971";"0";"0";"6.27";"5.79";"-";"-";"100%,25%,50%"
"13";"P 46";"168";"15";"1757";"1177";"0";"0";"-1";"5.71";"-";"-";"10%,100%,25%,50%"
"14";"P 46";"182";"13";"1784";"1107";"0";"0";"6.12";"5.66";"-";"-";"100%,25%,50%"
"15";"P 46";"196";"14";"1764";"875";"0";"0";"6.02";"5.6";"-";"-";"100%,50%"
"16";"P 46";"211";"14";"1794";"1041";"0";"0";"5.89";"5.49";"-";"-";"100%,25%,50%"
"17";"P 46";"225";"14";"1774";"1538";"0";"0";"5.81";"5.44";"-";"-";"100%,25%,50%"
"18";"P 46";"238";"13";"1774";"1174";"0";"0";"5.66";"5.35";"-";"-";"10%,100%,25%,50%"
"19";"P 46";"253";"14";"1744";"1107";"0";"0";"5.67";"5.23";"-";"-";"100%,25%,50%"
"20";"P 46";"267";"14";"1708";"1399";"0";"0";"0";"5.17";"-";"-";"100%,25%,50%"
"21";"P 46";"281";"14";"1744";"1230";"0";"0";"5.47";"5.07";"-";"-";"10%,100%,25%,50%"
"22";"P 46";"295";"13";"1797";"1150";"0";"0";"5.4";"5.05";"-";"-";"10%,100%,25%,50%"
"23";"P 46";"309";"14";"1784";"1121";"0";"0";"5.31";"0";"-";"-";"100%,25%,50%"
"24";"P 46";"337";"28";"1751";"1233";"0";"0";"0";"4.87";"-";"-";"10%,100%,25%,50%"
"25";"P 46";"351";"14";"1777";"1157";"0";"0";"5.16";"4.75";"-";"-";"10%,100%,25%,50%"
"26";"P 46";"365";"14";"1777";"1150";"0";"0";"5.09";"0";"-";"-";"10%,100%,25%,50%"
"27";"P 46";"379";"14";"1784";"1237";"0";"0";"5.08";"0";"-";"-";"10%,100%,25%,50%"
"28";"P 46";"393";"13";"1767";"1150";"0";"0";"4.98";"4.67";"-";"-";"10%,100%,25%,50%"
"29";"P 46";"408";"14";"1790";"1074";"0";"0";"4.97";"0";"-";"-";"100%,25%,50%"
"30";"P 46";"422";"14";"1711";"1250";"0";"0";"0";"4.5";"-";"-";"10%,100%,25%,50%"
