GP-No,Name,Time,Timegap,X,Y,X-offset,Y-offset,Pupil Diameter Left (mm),Pupil Diameter Right (mm),Mouse X-coord,Mouse Y-coord,AoI
1,P 3,0,0,1800,653,0,0,3.83,0,2039,998,100%
2,P 3,26,26,1754,706,0,0,3.79,0,2039,998,100%
3,P 3,79,53,1625,922,0,0,0,3.94,2039,998,100%
4,P 3,106,26,1820,988,0,0,0,3.84,2039,998,100%
5,P 3,145,39,1668,882,0,0,0,3.51,2079,1015,100%
6,P 3,172,26,1711,640,0,0,3.85,0,2079,1015,100%
7,P 3,198,26,1684,491,0,0,3.9,3.79,2079,1015,100%
8,P 3,212,13,1784,494,0,0,3.82,0,2079,1015,100%
9,P 3,225,13,1764,418,0,0,3.77,3.89,2079,1015,100%
10,P 3,251,26,1727,550,0,0,3.82,0,3220,1820,100%
11,P 3,265,13,1784,554,0,0,3.9,0,3220,1820,100%
12,P 3,291,26,2056,640,0,0,3.85,0,3220,1820,100%
13,P 3,318,26,2069,736,0,0,3.92,0,3220,1820,100%
14,P 3,331,13,2149,796,0,0,3.99,0,3220,1820,100%
15,P 3,357,26,2255,706,0,0,3.91,0,3220,1820,100%
16,P 3,384,26,2142,849,0,0,3.99,0,3220,1820,100%
17,P 3,517,132,2666,1276,0,0,0,3.87,3220,1820,100%
18,P 3,544,27,2812,1393,0,0,0,3.96,3220,1820,100%
19,P 3,570,26,2868,1333,0,0,0,3.91,3220,1820,100%
20,P 3,596,26,3054,1210,0,0,4.04,3.68,3220,1820,-
21,P 3,623,26,2788,1376,0,0,0,3.92,3220,1820,100%
22,P 3,636,13,2997,1369,0,0,4.08,0,3220,1820,-
23,P 3,649,13,3011,1343,0,0,4.11,0,3220,1820,-
24,P 3,729,79,1658,882,0,0,4.16,0,3220,1820,100%
25,P 3,755,26,1684,1031,0,0,4.17,3.9,3220,1820,100%
26,P 3,795,40,1691,1134,0,0,4.17,4.18,3220,1820,100%
27,P 3,82200%,26,1751,1131,0,0,4.28,0,3220,1820,10%
28,P 3,835,13,1678,1054,0,0,4.16,0,3220,1820,100%
29,P 3,848,13,1671,1097,0,0,4.11,0,3220,1820,100%
30,P 3,875,26,1727,1064,0,0,4,0,3220,1820,100%
31,P 3,888,13,1684,1041,0,0,4.01,0,3220,1820,100%
32,P 3,901,13,1678,975,0,0,3.88,0,3220,1820,100%
33,P 3,91400%,12,1711,1200,0,0,4.01,0,3220,1820,10%
34,P 3,1007,93,1674,819,0,0,3.62,0,3220,1820,100%
35,P 3,1047,39,1701,1078,0,0,3.68,3.65,3220,1820,100%
36,P 3,1074,26,1737,1048,0,0,3.6,3.26,3220,1820,100%
37,P 3,1113,39,1668,865,0,0,3.51,0,3220,1820,100%
38,P 3,1126,13,1834,985,0,0,0,3.57,3220,1820,100%
39,P 3,1153,26,1883,965,0,0,3.5,0,3220,1820,100%
40,P 3,1220,66,1651,991,0,0,3.49,0,3220,1820,100%
41,P 3,1233,13,1681,932,0,0,3.49,0,3220,1820,100%
42,P 3,1285,52,1645,892,0,0,3.46,0,3220,1820,100%
43,P 3,1312,26,1655,1061,0,0,3.5,0,3220,1820,100%
44,P 3,1365,52,1532,869,0,0,3.46,-1,3220,1820,100%
45,P 3,1418,53,1694,968,0,0,3.49,3.06,3220,1820,100%
46,P 3,1445,26,1734,908,0,0,3.49,0,3220,1820,100%
47,P 3,1458,13,1930,988,0,0,0,3.46,3220,1820,100%
48,P 3,1498,39,1635,908,0,0,3.52,0,3220,1820,100%
49,P 3,1578,79,1741,361,0,0,-1,0,3220,1820,100%
50,P 3,1657,79,1711,1038,0,0,3.47,0,3220,1820,100%
51,P 3,1710,53,1611,905,0,0,-1,0,3220,1820,100%
52,P 3,1736,26,1708,1034,0,0,3.53,0,3220,1820,100%
53,P 3,1843,106,1727,895,0,0,0,3.45,3220,1820,100%
54,P 3,1869,26,1681,975,0,0,3.52,0,3220,1820,100%
55,P 3,1882,13,1724,819,0,0,3.53,0,3220,1820,100%
56,P 3,1936,53,1870,915,0,0,3.55,0,3220,1820,100%
57,P 3,1989,53,1787,832,0,0,3.64,0,3220,1820,100%
58,P 3,2068,79,1867,1111,0,0,0,3.11,3220,1820,100%
59,P 3,2094,26,1820,779,0,0,3.6,3.4,3220,1820,100%
60,P 3,2108,13,1781,885,0,0,3.61,0,3220,1820,100%
61,P 3,2134,26,1936,822,0,0,3.55,0,3220,1820,100%
62,P 3,2188,53,1893,660,0,0,3.58,0,3220,1820,100%
63,P 3,2227,39,1853,935,0,0,0,3.55,3220,1820,100%
64,P 3,2254,26,1651,991,0,0,0,3.58,3220,1820,100%
65,P 3,2280,26,1588,935,0,0,3.59,0,3220,1820,100%
66,P 3,2360,79,1790,981,0,0,3.64,0,3220,1820,100%
67,P 3,2426,66,1678,630,0,0,-1,0,3220,1820,100%
68,P 3,2506,79,1737,872,0,0,3.67,3.6,3220,1820,100%
69,P 3,2744,238,1757,952,0,0,0,3.24,3220,1820,100%
70,P 3,2771,26,1767,938,0,0,3.77,3.72,3220,1820,100%
71,P 3,2784,13,1910,892,0,0,3.72,0,3220,1820,100%
72,P 3,2797,13,1827,958,0,0,3.77,0,3220,1820,100%
73,P 3,281100%,13,1794,1180,0,0,3.75,0,3220,1820,10%
74,P 3,2864,52,2006,842,0,0,3.73,0,3220,1820,100%
75,P 3,2877,13,1857,965,0,0,3.81,0,3220,1820,100%
76,P 3,2930,53,1671,991,0,0,0,3.69,3220,1820,100%
77,P 3,2956,26,1807,985,0,0,0,3.27,3220,1820,100%
78,P 3,2983,26,1880,1058,0,0,3.74,3.57,3220,1820,100%
79,P 3,299600%,13,1794,1154,0,0,3.8,0,3220,1820,10%
80,P 3,3036,39,1890,905,0,0,3.78,0,3220,1820,100%
81,P 3,3116,79,1774,928,0,0,0,3.68,3220,1820,100%
82,P 3,3142,26,1827,1084,0,0,3.81,3.22,3220,1820,100%
83,P 3,3169,26,1671,915,0,0,0,3.64,3220,1820,100%
84,P 3,3222,53,1890,1250,0,0,3.82,0,3220,1820,100%
85,P 3,3262,39,1834,1124,0,0,3.76,0,3220,1820,100%
86,P 3,3407,145,1708,935,0,0,0,3.73,3220,1820,100%
87,P 3,3487,79,1790,882,0,0,3.87,0,3220,1820,100%
88,P 3,3553,66,1863,816,0,0,3.87,0,3220,1820,100%
89,P 3,3606,53,1800,1094,0,0,0,3.33,3220,1820,100%
90,P 3,3633,26,1724,942,0,0,0,3.77,3220,1820,100%
91,P 3,3699,66,1824,978,0,0,3.89,0,3220,1820,100%
92,P 3,3845,145,1930,971,0,0,0,3.32,3220,1820,100%
93,P 3,4123,278,1734,852,0,0,3.82,0,3220,1820,100%
94,P 3,4176,52,1857,978,0,0,3.88,0,3220,1820,100%
95,P 3,4309,132,1764,905,0,0,3.91,3.73,3220,1820,100%
96,P 3,4335,26,1664,915,0,0,0,3.43,3220,1820,100%
97,P 3,4455,119,1741,922,0,0,0,3.7,3220,1820,100%
98,P 3,4614,159,1800,849,0,0,0,3.26,3220,1820,100%
99,P 3,4667,53,1940,842,0,0,0,3.67,3220,1820,100%
100,P 3,4879,212,1784,1044,0,0,0,3.32,3220,1820,100%
101,P 3,4906,26,1615,945,0,0,0,3.61,3220,1820,100%
102,P 3,5157,251,1731,872,0,0,0,3.62,3220,1820,100%
103,P 3,5834,676,1867,895,0,0,0,3.26,3220,1820,100%
104,P 3,5860,26,1711,971,0,0,0,3.34,3220,1820,100%
105,P 3,5940,79,1850,899,0,0,0,3.71,3220,1820,100%
106,P 3,6905,965,1827,998,0,0,0,3.78,3220,1820,100%
107,P 3,7144,238,1684,1001,0,0,0,3.69,3220,1820,100%
108,P 3,7171,26,1979,995,0,0,0,3.78,3220,1820,100%
109,P 3,7476,304,1718,942,0,0,0,3.4,3220,1820,100%
110,P 3,7555,79,1661,988,0,0,0,3.83,3220,1820,100%
111,P 3,7807,251,1830,995,0,0,0,3.7,3220,1820,100%
112,P 3,7833,26,1834,922,0,0,0,3.74,3220,1820,100%
113,P 3,7860,26,1741,968,0,0,0,3.3,3220,1820,100%
114,P 3,7887,26,1698,1001,0,0,0,3.66,3220,1820,100%
115,P 3,8112,225,1804,713,0,0,0,3.26,3220,1820,100%
116,P 3,8139,26,1678,822,0,0,0,3.61,3220,1820,100%
117,P 3,8669,530,1688,902,0,0,0,3.32,3220,1820,100%
118,P 3,8749,79,1790,879,0,0,0,3.7,3220,1820,100%
119,P 3,9146,397,1754,998,0,0,0,3.28,3220,1820,100%
120,P 3,9173,26,1678,981,0,0,0,3.3,3220,1820,100%
121,P 3,9199,26,1648,1038,0,0,0,3.27,3220,1820,100%
122,P 3,9226,26,1578,1087,0,0,0,3.63,3220,1820,100%
123,P 3,9810,583,2162,802,0,0,3.59,0,3220,1820,100%
124,P 3,9889,79,1860,2361,0,0,3.53,0,3220,1820,100%
125,P 3,10074,185,1714,958,0,0,0,3.39,3220,1820,100%
126,P 3,10141,66,2029,812,0,0,3.41,0,3220,1820,100%
127,P 3,10167,26,1767,855,0,0,3.41,0,3220,1820,100%
128,P 3,10180,13,1741,756,0,0,0,3.41,3220,1820,100%
129,P 3,10207,26,1844,882,0,0,0,3.06,3220,1820,100%
130,P 3,10234,26,1698,839,0,0,0,3.46,3220,1820,100%
131,P 3,10340,105,1704,83,0,0,-1,0,3220,1820,100%
132,P 3,10446,106,1754,1051,0,0,3.53,3.11,3220,1820,100%
133,P 3,10486,39,1605,922,0,0,0,3.42,3220,1820,100%
134,P 3,10724,238,1777,610,0,0,3.32,0,3220,1820,100%
135,P 3,10777,53,1844,1084,0,0,3.42,3.05,3220,1820,100%
136,P 3,10804,26,1853,978,0,0,0,3.49,3220,1820,100%
137,P 3,10817,13,1727,908,0,0,3.42,0,3220,1820,100%
138,P 3,10844,26,1999,802,0,0,3.39,0,3220,1820,100%
139,P 3,10857,13,1771,885,0,0,3.44,0,3220,1820,100%
140,P 3,1091000%,53,1797,1303,0,0,3.47,0,3220,1820,10%
141,P 3,10937,26,1688,683,0,0,3.59,0,3220,1820,100%
142,P 3,10963,26,1737,945,0,0,3.52,0,3220,1820,100%
143,P 3,11016,53,1751,849,0,0,3.56,3.54,3220,1820,100%
144,P 3,11069,52,1777,922,0,0,3.58,0,3220,1820,100%
145,P 3,11095,26,1698,995,0,0,3.56,0,3220,1820,100%
146,P 3,11148,53,1674,965,0,0,3.59,0,3220,1820,100%
147,P 3,11175,26,1724,1011,0,0,3.53,0,3220,1820,100%
148,P 3,11308,132,1767,1008,0,0,3.4,0,3220,1820,100%
149,P 3,11387,79,1853,1127,0,0,3.47,0,3220,1820,100%
150,P 3,11467,79,1671,1150,0,0,0,3.12,3220,1820,100%
151,P 3,11493,26,1764,899,0,0,3.54,3.35,3220,1820,100%
152,P 3,11507,13,1781,769,0,0,3.45,0,3220,1820,100%
153,P 3,11520,13,1668,882,0,0,3.49,0,3220,1820,100%
154,P 3,11546,26,1824,948,0,0,3.44,3.52,3220,1820,100%
155,P 3,11573,26,1747,1107,0,0,3.46,0,3220,1820,100%
156,P 3,11599,26,1678,978,0,0,3.42,0,3220,1820,100%
157,P 3,1167900%,79,1688,1296,0,0,3.73,0,3220,1820,10%
158,P 3,11838,158,1764,875,0,0,3.44,0,3220,1820,100%
159,P 3,11918,79,1651,1157,0,0,3.51,0,3220,1820,100%
160,P 3,12090,172,1641,991,0,0,3.51,0,3220,1820,100%
161,P 3,12117,26,1681,915,0,0,3.49,0,3220,1820,100%
162,P 3,12170,52,1688,928,0,0,3.5,0,3220,1820,100%
