"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 40";"0";"0";"2467";"1061";"0";"0";"-1";"0";"-";"-";"100%"
"2";"P 40";"13";"13";"1940";"1303";"0";"0";"6.97";"0";"-";"-";"100%,25%,50%"
"3";"P 40";"26";"13";"1790";"1525";"0";"0";"6.96";"9.21";"-";"-";"100%,25%,50%"
"4";"P 40";"40";"13";"1774";"1197";"0";"0";"6.97";"7.37";"-";"-";"10%,100%,25%,50%"
"5";"P 40";"53";"13";"1787";"1373";"0";"0";"6.96";"7.44";"-";"-";"100%,25%,50%"
"6";"P 40";"67";"14";"1797";"1250";"0";"0";"6.9";"0";"-";"-";"10%,100%,25%,50%"
"7";"P 40";"81";"13";"1774";"1316";"0";"0";"6.83";"7.16";"-";"-";"10%,100%,25%,50%"
"8";"P 40";"94";"13";"1691";"1349";"0";"0";"6.8";"7.08";"-";"-";"100%,25%,50%"
"9";"P 40";"108";"13";"1814";"1260";"0";"0";"6.64";"7.02";"-";"-";"10%,100%,25%,50%"
"10";"P 40";"121";"13";"1834";"1273";"0";"0";"6.55";"7";"-";"-";"10%,100%,25%,50%"
"11";"P 40";"135";"13";"1771";"1233";"0";"0";"6.52";"6.8";"-";"-";"10%,100%,25%,50%"
"12";"P 40";"148";"13";"1701";"1320";"0";"0";"6.42";"6.72";"-";"-";"10%,100%,25%,50%"
"13";"P 40";"162";"13";"1754";"1267";"0";"0";"6.28";"6.57";"-";"-";"10%,100%,25%,50%"
"14";"P 40";"176";"13";"1651";"1190";"0";"0";"6.25";"6.48";"-";"-";"100%,25%,50%"
"15";"P 40";"189";"13";"1731";"1104";"0";"0";"6.19";"6.51";"-";"-";"100%,25%,50%"
"16";"P 40";"202";"13";"1721";"1273";"0";"0";"0";"6.28";"-";"-";"10%,100%,25%,50%"
"17";"P 40";"216";"13";"1668";"1157";"0";"0";"5.92";"6.26";"-";"-";"100%,25%,50%"
"18";"P 40";"230";"13";"1714";"1137";"0";"0";"5.76";"6.2";"-";"-";"10%,100%,25%,50%"
"19";"P 40";"243";"13";"1664";"1270";"0";"0";"0";"6.07";"-";"-";"10%,100%,25%,50%"
"20";"P 40";"257";"13";"1674";"1310";"0";"0";"0";"6";"-";"-";"10%,100%,25%,50%"
