"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 27";"0";"0";"2082";"955";"0";"0";"5.57";"5.62";"2149";"1015";"100%,50%"
"2";"P 27";"13";"13";"2099";"875";"0";"0";"5.52";"5.68";"2149";"1015";"100%,50%"
"3";"P 27";"67";"54";"2139";"961";"0";"0";"5.7";"5.64";"2069";"1313";"100%,50%"
"4";"P 27";"80";"13";"2105";"965";"0";"0";"5.66";"5.62";"2069";"1313";"100%,50%"
"5";"P 27";"94";"13";"2105";"925";"0";"0";"5.6";"5.6";"2069";"1313";"100%,50%"
"6";"P 27";"108";"13";"2109";"958";"0";"0";"5.64";"0";"2069";"1313";"100%,50%"
"7";"P 27";"121";"13";"2125";"968";"0";"0";"5.55";"5.64";"2069";"1313";"100%,50%"
"8";"P 27";"135";"13";"2162";"985";"0";"0";"5.73";"0";"1737";"978";"100%,50%"
"9";"P 27";"148";"13";"2132";"885";"0";"0";"5.64";"5.61";"1737";"978";"100%,50%"
"10";"P 27";"162";"13";"2159";"879";"0";"0";"5.62";"5.62";"1737";"978";"100%,50%"
"11";"P 27";"175";"13";"2139";"895";"0";"0";"5.65";"5.71";"1737";"978";"100%,50%"
"12";"P 27";"189";"13";"2102";"899";"0";"0";"5.64";"0";"1737";"978";"100%,50%"
"13";"P 27";"202";"13";"2125";"981";"0";"0";"5.59";"0";"1737";"978";"100%,50%"
"14";"P 27";"216";"13";"2152";"845";"0";"0";"5.71";"0";"1737";"978";"100%,50%"
"15";"P 27";"229";"13";"2076";"743";"0";"0";"5.52";"0";"1737";"978";"100%,50%"
"16";"P 27";"243";"13";"2066";"733";"0";"0";"5.72";"5.72";"2520";"1237";"100%,50%"
"17";"P 27";"256";"13";"2092";"739";"0";"0";"5.74";"5.72";"2520";"1237";"100%"
"18";"P 27";"270";"13";"2039";"776";"0";"0";"0";"5.73";"2520";"1237";"100%,50%"
"19";"P 27";"283";"13";"2155";"806";"0";"0";"5.79";"0";"2520";"1237";"100%,50%"
"20";"P 27";"297";"13";"2112";"716";"0";"0";"5.66";"5.72";"2520";"1237";"100%"
"21";"P 27";"310";"13";"2096";"723";"0";"0";"5.7";"5.78";"2520";"1237";"100%"
"22";"P 27";"324";"13";"2145";"766";"0";"0";"5.8";"5.75";"2520";"1237";"100%"
"23";"P 27";"337";"13";"2105";"739";"0";"0";"5.74";"5.8";"2520";"1237";"100%"
"24";"P 27";"351";"13";"2119";"769";"0";"0";"5.77";"5.77";"2520";"1237";"100%,50%"
"25";"P 27";"364";"13";"2086";"719";"0";"0";"5.74";"5.87";"2520";"1237";"100%"
