"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 5-1";"0";"0";"1910";"875";"0";"0";"3.77";"0";"2125";"1074";"100%,50%"
"2";"P 5-1";"86";"86";"1996";"1011";"0";"0";"3.81";"0";"2125";"1074";"100%,50%"
"3";"P 5-1";"154";"68";"2172";"749";"0";"0";"3.81";"0";"2125";"1074";"100%"
"4";"P 5-1";"172";"17";"2188";"799";"0";"0";"3.8";"0";"2769";"1197";"100%"
"5";"P 5-1";"189";"17";"2285";"839";"0";"0";"3.84";"0";"2769";"1197";"100%"
"6";"P 5-1";"361";"172";"2225";"627";"0";"0";"3.79";"0";"2769";"1197";"100%"
"7";"P 5-1";"396";"34";"2168";"613";"0";"0";"3.87";"0";"2769";"1197";"100%"
"8";"P 5-1";"431";"34";"2129";"643";"0";"0";"3.95";"0";"2769";"1197";"100%"
"9";"P 5-1";"448";"17";"2079";"729";"0";"0";"3.99";"0";"2769";"1197";"100%"
"10";"P 5-1";"482";"34";"2089";"647";"0";"0";"3.94";"0";"2769";"1197";"100%"
"11";"P 5-1";"499";"17";"2099";"753";"0";"0";"4.01";"0";"2769";"1197";"100%,50%"
"12";"P 5-1";"568";"68";"1664";"961";"0";"0";"4.08";"0";"2769";"1197";"100%,25%,50%"
"13";"P 5-1";"585";"17";"1691";"1038";"0";"0";"4.11";"4.13";"2769";"1197";"100%,25%,50%"
"14";"P 5-1";"655";"69";"1694";"1015";"0";"0";"4.09";"0";"2769";"1197";"100%,25%,50%"
"15";"P 5-1";"689";"34";"1621";"1011";"0";"0";"4.05";"0";"2769";"1197";"100%,25%,50%"
"16";"P 5-1";"706";"16";"1645";"928";"0";"0";"3.95";"0";"2769";"1197";"100%,50%"
"17";"P 5-1";"758";"51";"1688";"922";"0";"0";"3.82";"0";"2769";"1197";"100%,50%"
"18";"P 5-1";"827";"68";"1751";"908";"0";"0";"3.74";"0";"2769";"1197";"100%,50%"
"19";"P 5-1";"844";"16";"1721";"1034";"0";"0";"3.79";"0";"2769";"1197";"100%,25%,50%"
"20";"P 5-1";"879";"34";"1698";"1064";"0";"0";"3.69";"0";"2769";"1197";"100%,25%,50%"
"21";"P 5-1";"930";"51";"1747";"1104";"0";"0";"3.62";"0";"2769";"1197";"100%,25%,50%"
"22";"P 5-1";"948";"17";"1655";"1038";"0";"0";"3.6";"0";"2769";"1197";"100%,25%,50%"
"23";"P 5-1";"1017";"68";"1575";"995";"0";"0";"3.58";"0";"2769";"1197";"100%,50%"
"24";"P 5-1";"1085";"68";"1651";"935";"0";"0";"3.46";"0";"2769";"1197";"100%,50%"
"25";"P 5-1";"1310";"224";"1565";"812";"0";"0";"3.19";"0";"2769";"1197";"100%,50%"
"26";"P 5-1";"2492";"1182";"1873";"666";"0";"0";"2.91";"0";"2769";"1197";"100%,50%"
"27";"P 5-1";"2882";"389";"2152";"444";"0";"0";"2.73";"0";"2769";"1197";"100%"
"28";"P 5-1";"2951";"69";"2112";"20";"0";"0";"-1";"0";"2769";"1197";"-"
"29";"P 5-1";"3020";"69";"1897";"172";"0";"0";"-1";"0";"2769";"1197";"100%"
"30";"P 5-1";"3055";"34";"1946";"776";"0";"0";"3.56";"0";"2769";"1197";"100%,50%"
"31";"P 5-1";"3072";"16";"1873";"676";"0";"0";"3.57";"0";"2769";"1197";"100%,50%"
