"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 22";"0";"0";"1727";"1883";"0";"0";"0";"4.27";"2125";"1061";"100%"
"2";"P 22";"962";"962";"1718";"763";"0";"0";"0";"-1";"2125";"1061";"100%,50%"
"3";"P 22";"1249";"286";"1814";"1412";"0";"0";"-1";"4.44";"2125";"1061";"100%,25%,50%"
"4";"P 22";"2072";"823";"1923";"1117";"0";"0";"3.62";"3.6";"2125";"1061";"100%,25%,50%"
"5";"P 22";"2239";"167";"1698";"1094";"0";"0";"0";"3.77";"2125";"1061";"100%,25%,50%"
"6";"P 22";"2407";"168";"1873";"945";"0";"0";"-1";"3.95";"2125";"1061";"100%,50%"
"7";"P 22";"2889";"481";"1867";"1031";"0";"0";"3.85";"0";"2125";"1061";"100%,25%,50%"
"8";"P 22";"2930";"41";"1837";"1071";"0";"0";"3.94";"0";"2125";"1061";"100%,25%,50%"
"9";"P 22";"2972";"41";"1674";"1091";"0";"0";"0";"3.86";"2125";"1061";"100%,25%,50%"
"10";"P 22";"3013";"41";"1711";"1134";"0";"0";"0";"4.12";"2125";"1061";"100%,25%,50%"
"11";"P 22";"3027";"13";"1890";"1081";"0";"0";"3.99";"4.12";"2125";"1061";"100%,25%,50%"
"12";"P 22";"3041";"13";"1863";"1054";"0";"0";"3.95";"0";"2125";"1061";"100%,25%,50%"
"13";"P 22";"3054";"13";"1691";"1015";"0";"0";"0";"4.12";"2125";"1061";"100%,25%,50%"
"14";"P 22";"3082";"27";"1827";"1061";"0";"0";"4.01";"4.17";"2125";"1061";"100%,25%,50%"
"15";"P 22";"3096";"14";"1830";"1064";"0";"0";"4.02";"4.15";"2125";"1061";"100%,25%,50%"
"16";"P 22";"3110";"13";"1751";"1124";"0";"0";"0";"4.15";"2125";"1061";"100%,25%,50%"
