"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 49";"0";"0";"2082";"1223";"0";"0";"0";"4.75";"2092";"1074";"100%,50%"
"2";"P 49";"13";"13";"2069";"932";"0";"0";"5.35";"4.71";"2092";"1074";"100%,50%"
"3";"P 49";"27";"13";"2109";"1084";"0";"0";"0";"4.68";"2092";"1074";"100%,50%"
"4";"P 49";"41";"13";"1993";"958";"0";"0";"5.42";"4.75";"2092";"1074";"100%,50%"
"5";"P 49";"55";"14";"2115";"1141";"0";"0";"5.42";"4.7";"2092";"1074";"100%,50%"
"6";"P 49";"68";"13";"2092";"875";"0";"0";"5.4";"4.74";"2092";"1074";"100%,50%"
"7";"P 49";"82";"13";"2066";"862";"0";"0";"5.43";"4.78";"2092";"1074";"100%,50%"
"8";"P 49";"96";"13";"2009";"1137";"0";"0";"0";"4.74";"2092";"1074";"100%,25%,50%"
"9";"P 49";"110";"13";"1989";"1197";"0";"0";"5.39";"4.71";"2092";"1074";"100%,25%,50%"
"10";"P 49";"124";"13";"2052";"1071";"0";"0";"0";"4.75";"2092";"1074";"100%,50%"
"11";"P 49";"137";"13";"1986";"1034";"0";"0";"5.31";"4.75";"2092";"1074";"100%,50%"
"12";"P 49";"151";"13";"2129";"1170";"0";"0";"0";"4.75";"2092";"1074";"100%,50%"
"13";"P 49";"165";"13";"2105";"915";"0";"0";"5.43";"4.74";"2092";"1074";"100%,50%"
"14";"P 49";"179";"13";"1996";"1091";"0";"0";"0";"4.75";"2092";"1074";"100%,25%,50%"
"15";"P 49";"193";"13";"2099";"968";"0";"0";"5.44";"4.75";"2092";"1074";"100%,50%"
"16";"P 49";"206";"13";"2069";"1005";"0";"0";"5.48";"4.76";"2092";"1074";"100%,50%"
"17";"P 49";"220";"13";"2033";"882";"0";"0";"5.41";"4.83";"2092";"1074";"100%,50%"
"18";"P 49";"234";"13";"2082";"869";"0";"0";"5.48";"4.78";"2092";"1074";"100%,50%"
"19";"P 49";"248";"13";"2125";"872";"0";"0";"5.37";"4.79";"2092";"1074";"100%,50%"
"20";"P 49";"262";"13";"2145";"670";"0";"0";"5.45";"4.77";"2092";"1074";"100%"
"21";"P 49";"275";"13";"1887";"826";"0";"0";"5.43";"4.82";"2092";"1074";"100%,50%"
"22";"P 49";"289";"13";"1956";"1087";"0";"0";"5.37";"4.84";"2092";"1074";"100%,25%,50%"
"23";"P 49";"303";"13";"1396";"796";"0";"0";"5.54";"4.86";"2092";"1074";"100%,50%"
"24";"P 49";"317";"13";"1323";"981";"0";"0";"5.44";"4.8";"2092";"1074";"100%,50%"
"25";"P 49";"331";"13";"1535";"690";"0";"0";"5.44";"4.8";"2092";"1074";"100%,50%"
"26";"P 49";"344";"13";"1336";"942";"0";"0";"0";"4.81";"2092";"1074";"100%,50%"
"27";"P 49";"358";"13";"1346";"524";"0";"0";"5.48";"4.83";"2092";"1074";"100%"
"28";"P 49";"372";"13";"1306";"613";"0";"0";"5.52";"4.86";"2092";"1074";"100%"
"29";"P 49";"386";"13";"1349";"1038";"0";"0";"0";"4.86";"2092";"1074";"100%,50%"
"30";"P 49";"399";"13";"1489";"1078";"0";"0";"5.56";"5.95";"2092";"1074";"100%,50%"
"31";"P 49";"413";"13";"1333";"2139";"0";"0";"5.64";"0";"2092";"1074";"100%"
