"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 5";"0";"0";"2513";"1774";"0";"0";"4.13";"4.03";"-";"-";"100%"
"2";"P 5";"13";"13";"2145";"1399";"0";"0";"4.05";"0";"-";"-";"100%,50%"
"3";"P 5";"27";"13";"2056";"1293";"0";"0";"4.06";"4.02";"-";"-";"100%,50%"
"4";"P 5";"41";"13";"2102";"1257";"0";"0";"4.05";"4";"-";"-";"100%,50%"
"5";"P 5";"55";"13";"2066";"1286";"0";"0";"4.02";"0";"-";"-";"100%,50%"
"6";"P 5";"68";"13";"2076";"1303";"0";"0";"4.09";"0";"-";"-";"100%,50%"
"7";"P 5";"82";"13";"2042";"1330";"0";"0";"4.1";"4.09";"-";"-";"100%,50%"
"8";"P 5";"96";"13";"2082";"1412";"0";"0";"4.2";"4.1";"-";"-";"100%,50%"
"9";"P 5";"110";"13";"2003";"1353";"0";"0";"4.15";"4.11";"-";"-";"100%,25%,50%"
"10";"P 5";"124";"14";"2036";"1353";"0";"0";"4.15";"4.09";"-";"-";"100%,50%"
"11";"P 5";"138";"13";"2033";"1300";"0";"0";"4.17";"4.1";"-";"-";"100%,25%,50%"
"12";"P 5";"151";"13";"2036";"1326";"0";"0";"4.2";"0";"-";"-";"100%,50%"
"13";"P 5";"165";"13";"1996";"1310";"0";"0";"4.2";"4.12";"-";"-";"100%,25%,50%"
"14";"P 5";"179";"13";"2072";"1280";"0";"0";"4.23";"4.18";"-";"-";"100%,50%"
"15";"P 5";"193";"14";"2039";"1306";"0";"0";"4.24";"4.17";"-";"-";"100%,25%,50%"
"16";"P 5";"206";"13";"2112";"1273";"0";"0";"4.26";"4.24";"-";"-";"100%,50%"
"17";"P 5";"220";"13";"2096";"1465";"0";"0";"4.28";"0";"-";"-";"100%,50%"
"18";"P 5";"234";"14";"1986";"1326";"0";"0";"4.24";"4.28";"-";"-";"100%,25%,50%"
"19";"P 5";"248";"13";"2056";"1386";"0";"0";"4.3";"0";"-";"-";"100%,50%"
"20";"P 5";"262";"14";"2086";"1303";"0";"0";"4.3";"4.28";"-";"-";"100%,50%"
"21";"P 5";"276";"13";"2042";"1303";"0";"0";"4.3";"4.26";"-";"-";"100%,50%"
"22";"P 5";"290";"13";"2062";"1293";"0";"0";"4.29";"0";"-";"-";"100%,50%"
"23";"P 5";"303";"13";"2039";"1330";"0";"0";"4.32";"4.27";"-";"-";"100%,50%"
"24";"P 5";"331";"27";"1817";"1303";"0";"0";"4.28";"4.27";"-";"-";"10%,100%,25%,50%"
"25";"P 5";"345";"13";"1751";"1213";"0";"0";"4.27";"4.32";"-";"-";"10%,100%,25%,50%"
"26";"P 5";"358";"13";"1757";"1356";"0";"0";"4.3";"4.31";"-";"-";"100%,25%,50%"
"27";"P 5";"372";"14";"1741";"1220";"0";"0";"4.27";"4.33";"-";"-";"10%,100%,25%,50%"
"28";"P 5";"386";"13";"1744";"1227";"0";"0";"4.27";"4.3";"-";"-";"10%,100%,25%,50%"
"29";"P 5";"400";"14";"1655";"1150";"0";"0";"4.28";"4.28";"-";"-";"100%,25%,50%"
"30";"P 5";"413";"13";"1645";"1150";"0";"0";"4.21";"4.27";"-";"-";"100%,25%,50%"
"31";"P 5";"427";"14";"1651";"1134";"0";"0";"4.14";"4.19";"-";"-";"100%,25%,50%"
"32";"P 5";"441";"13";"1681";"1160";"0";"0";"4.12";"4.17";"-";"-";"10%,100%,25%,50%"
"33";"P 5";"455";"13";"1651";"1180";"0";"0";"3.99";"4.08";"-";"-";"100%,25%,50%"
"34";"P 5";"469";"13";"1714";"1091";"0";"0";"3.97";"4.04";"-";"-";"100%,25%,50%"
"35";"P 5";"483";"14";"1708";"1074";"0";"0";"3.92";"3.97";"-";"-";"100%,25%,50%"
"36";"P 5";"496";"13";"1721";"1180";"0";"0";"3.89";"3.95";"-";"-";"10%,100%,25%,50%"
"37";"P 5";"510";"13";"1737";"1091";"0";"0";"3.79";"3.84";"-";"-";"100%,25%,50%"
"38";"P 5";"524";"13";"1747";"1081";"0";"0";"3.73";"3.83";"-";"-";"100%,25%,50%"
"39";"P 5";"537";"13";"1751";"1048";"0";"0";"3.68";"3.73";"-";"-";"100%,25%,50%"
"40";"P 5";"552";"14";"1834";"1121";"0";"0";"3.61";"3.69";"-";"-";"100%,25%,50%"
"41";"P 5";"565";"13";"1890";"1131";"0";"0";"3.6";"3.71";"-";"-";"100%,25%,50%"
"42";"P 5";"579";"13";"1824";"1064";"0";"0";"3.6";"3.62";"-";"-";"100%,25%,50%"
"43";"P 5";"593";"14";"1804";"1107";"0";"0";"3.55";"3.54";"-";"-";"100%,25%,50%"
"44";"P 5";"606";"13";"1877";"1141";"0";"0";"3.48";"3.55";"-";"-";"100%,25%,50%"
"45";"P 5";"621";"14";"1880";"1117";"0";"0";"3.43";"0";"-";"-";"100%,25%,50%"
"46";"P 5";"634";"13";"1840";"1131";"0";"0";"3.36";"0";"-";"-";"100%,25%,50%"
"47";"P 5";"662";"27";"1880";"1442";"0";"0";"3.3";"0";"-";"-";"100%,25%,50%"
"48";"P 5";"689";"27";"1887";"1068";"0";"0";"3.25";"0";"-";"-";"100%,25%,50%"
"49";"P 5";"717";"27";"1890";"1101";"0";"0";"3.21";"3.26";"-";"-";"100%,25%,50%"
"50";"P 5";"938";"220";"2195";"1124";"0";"0";"2.96";"0";"-";"-";"100%,50%"
"51";"P 5";"1034";"96";"1976";"1210";"0";"0";"2.96";"0";"-";"-";"100%,25%,50%"
"52";"P 5";"1089";"55";"1810";"1121";"0";"0";"2.93";"3.01";"-";"-";"100%,25%,50%"
"53";"P 5";"1103";"13";"1863";"1101";"0";"0";"2.99";"0";"-";"-";"100%,25%,50%"
"54";"P 5";"1158";"55";"1830";"1141";"0";"0";"2.95";"0";"-";"-";"100%,25%,50%"
"55";"P 5";"1200";"41";"1867";"1114";"0";"0";"2.92";"2.95";"-";"-";"100%,25%,50%"
"56";"P 5";"1213";"13";"1844";"961";"0";"0";"2.89";"0";"-";"-";"100%,25%,50%"
"57";"P 5";"1503";"289";"1844";"961";"0";"0";"0";"2.64";"-";"-";"100%,25%,50%"
"58";"P 5";"1558";"55";"1844";"961";"0";"0";"0";"2.95";"-";"-";"100%,25%,50%"
"59";"P 5";"1655";"96";"2076";"1015";"0";"0";"2.87";"0";"-";"-";"100%,50%"
"60";"P 5";"1710";"55";"1820";"1127";"0";"0";"2.93";"0";"-";"-";"100%,25%,50%"
"61";"P 5";"1806";"96";"1820";"1127";"0";"0";"0";"-1";"-";"-";"100%,25%,50%"
"62";"P 5";"2206";"399";"2159";"1001";"0";"0";"3.09";"-1";"-";"-";"100%,50%"
"63";"P 5";"5068";"2862";"1860";"1068";"0";"0";"3.17";"0";"-";"-";"100%,25%,50%"
"64";"P 5";"5556";"487";"1797";"968";"0";"0";"3.35";"0";"-";"-";"100%,25%,50%"
"65";"P 5";"5625";"68";"1817";"1094";"0";"0";"3.41";"3.45";"-";"-";"100%,25%,50%"
"66";"P 5";"5680";"54";"1781";"1005";"0";"0";"3.38";"0";"-";"-";"100%,25%,50%"
"67";"P 5";"5707";"27";"1781";"1081";"0";"0";"3.42";"0";"-";"-";"100%,25%,50%"
"68";"P 5";"5735";"27";"1814";"1018";"0";"0";"3.4";"0";"-";"-";"100%,25%,50%"
"69";"P 5";"5804";"69";"1797";"1038";"0";"0";"3.48";"0";"-";"-";"100%,25%,50%"
"70";"P 5";"5845";"41";"1781";"1054";"0";"0";"3.48";"0";"-";"-";"100%,25%,50%"
"71";"P 5";"5928";"82";"1761";"1064";"0";"0";"3.53";"0";"-";"-";"100%,25%,50%"
"72";"P 5";"5956";"27";"1731";"1150";"0";"0";"3.58";"3.62";"-";"-";"10%,100%,25%,50%"
"73";"P 5";"5984";"27";"1741";"1190";"0";"0";"3.61";"3.6";"-";"-";"10%,100%,25%,50%"
"74";"P 5";"5997";"13";"1754";"1144";"0";"0";"3.59";"0";"-";"-";"10%,100%,25%,50%"
"75";"P 5";"6011";"13";"1764";"1081";"0";"0";"3.52";"0";"-";"-";"100%,25%,50%"
"76";"P 5";"6039";"27";"1820";"1041";"0";"0";"3.49";"0";"-";"-";"100%,25%,50%"
"77";"P 5";"6066";"27";"1820";"1041";"0";"0";"0";"3.52";"-";"-";"100%,25%,50%"
"78";"P 5";"6094";"27";"1757";"1038";"0";"0";"3.4";"0";"-";"-";"100%,25%,50%"
"79";"P 5";"6121";"27";"1817";"1144";"0";"0";"3.52";"3.53";"-";"-";"10%,100%,25%,50%"
"80";"P 5";"6149";"27";"1794";"1084";"0";"0";"3.52";"0";"-";"-";"100%,25%,50%"
"81";"P 5";"6163";"14";"1807";"1008";"0";"0";"3.44";"0";"-";"-";"100%,25%,50%"
"82";"P 5";"6190";"27";"1781";"1015";"0";"0";"3.43";"0";"-";"-";"100%,25%,50%"
"83";"P 5";"6218";"27";"1757";"1064";"0";"0";"3.42";"0";"-";"-";"100%,25%,50%"
"84";"P 5";"6245";"27";"1744";"1187";"0";"0";"3.48";"0";"-";"-";"10%,100%,25%,50%"
"85";"P 5";"6273";"27";"1784";"1058";"0";"0";"3.43";"3.55";"-";"-";"100%,25%,50%"
"86";"P 5";"6301";"27";"1820";"1101";"0";"0";"3.47";"0";"-";"-";"100%,25%,50%"
"87";"P 5";"6315";"13";"1810";"1018";"0";"0";"3.46";"3.81";"-";"-";"100%,25%,50%"
"88";"P 5";"6356";"41";"1807";"1064";"0";"0";"3.47";"3.49";"-";"-";"100%,25%,50%"
"89";"P 5";"6370";"13";"1840";"1054";"0";"0";"3.45";"0";"-";"-";"100%,25%,50%"
"90";"P 5";"6383";"13";"1784";"1117";"0";"0";"3.44";"3.41";"-";"-";"100%,25%,50%"
"91";"P 5";"6411";"27";"1787";"1402";"0";"0";"3.63";"3.42";"-";"-";"100%,25%,50%"
"92";"P 5";"6425";"13";"1817";"1061";"0";"0";"3.4";"0";"-";"-";"100%,25%,50%"
"93";"P 5";"6439";"13";"1777";"1167";"0";"0";"3.44";"3.45";"-";"-";"10%,100%,25%,50%"
"94";"P 5";"6452";"13";"1817";"1044";"0";"0";"3.41";"3.39";"-";"-";"100%,25%,50%"
"95";"P 5";"6466";"13";"1834";"1068";"0";"0";"3.42";"3.35";"-";"-";"100%,25%,50%"
"96";"P 5";"6480";"13";"1794";"1068";"0";"0";"3.35";"3.41";"-";"-";"100%,25%,50%"
"97";"P 5";"6494";"14";"1797";"1071";"0";"0";"3.34";"3.42";"-";"-";"100%,25%,50%"
"98";"P 5";"6507";"13";"1764";"1058";"0";"0";"3.33";"3.33";"-";"-";"100%,25%,50%"
"99";"P 5";"6521";"13";"1807";"968";"0";"0";"3.33";"3.35";"-";"-";"100%,25%,50%"
"100";"P 5";"6535";"14";"1897";"1005";"0";"0";"3.33";"3.35";"-";"-";"100%,25%,50%"
"101";"P 5";"6549";"13";"1837";"1038";"0";"0";"3.29";"3.33";"-";"-";"100%,25%,50%"
"102";"P 5";"6563";"13";"1781";"1064";"0";"0";"3.38";"3.31";"-";"-";"100%,25%,50%"
"103";"P 5";"6590";"27";"1790";"1008";"0";"0";"3.33";"3.33";"-";"-";"100%,25%,50%"
"104";"P 5";"6604";"14";"1794";"1034";"0";"0";"3.31";"3.28";"-";"-";"100%,25%,50%"
"105";"P 5";"6618";"13";"1837";"1187";"0";"0";"3.37";"3.31";"-";"-";"10%,100%,25%,50%"
"106";"P 5";"6632";"14";"1840";"1044";"0";"0";"3.31";"3.3";"-";"-";"100%,25%,50%"
"107";"P 5";"6645";"13";"1830";"1048";"0";"0";"3.3";"3.26";"-";"-";"100%,25%,50%"
"108";"P 5";"6659";"13";"1787";"1137";"0";"0";"3.34";"3.25";"-";"-";"10%,100%,25%,50%"
"109";"P 5";"6673";"14";"1877";"1044";"0";"0";"3.26";"0";"-";"-";"100%,25%,50%"
"110";"P 5";"6687";"13";"1824";"1061";"0";"0";"3.31";"3.28";"-";"-";"100%,25%,50%"
"111";"P 5";"6701";"13";"1804";"1144";"0";"0";"3.33";"3.28";"-";"-";"10%,100%,25%,50%"
"112";"P 5";"6714";"13";"1827";"1177";"0";"0";"3.35";"3.34";"-";"-";"10%,100%,25%,50%"
"113";"P 5";"6728";"14";"1837";"1154";"0";"0";"3.3";"0";"-";"-";"100%,25%,50%"
"114";"P 5";"6742";"13";"1867";"1160";"0";"0";"3.32";"3.32";"-";"-";"100%,25%,50%"
"115";"P 5";"6769";"27";"1837";"1094";"0";"0";"3.31";"3.33";"-";"-";"100%,25%,50%"
"116";"P 5";"6783";"14";"1800";"1154";"0";"0";"3.37";"3.31";"-";"-";"10%,100%,25%,50%"
"117";"P 5";"6797";"13";"1810";"1137";"0";"0";"3.32";"3.29";"-";"-";"100%,25%,50%"
"118";"P 5";"6811";"13";"1840";"1031";"0";"0";"3.29";"3.33";"-";"-";"100%,25%,50%"
"119";"P 5";"6825";"13";"1970";"1084";"0";"0";"3.31";"3.29";"-";"-";"100%,25%,50%"
"120";"P 5";"6838";"13";"1807";"1097";"0";"0";"3.32";"0";"-";"-";"100%,25%,50%"
"121";"P 5";"6852";"13";"1787";"1078";"0";"0";"3.3";"0";"-";"-";"100%,25%,50%"
"122";"P 5";"6866";"13";"1857";"1001";"0";"0";"3.27";"0";"-";"-";"100%,25%,50%"
"123";"P 5";"6880";"13";"1834";"1081";"0";"0";"3.26";"0";"-";"-";"100%,25%,50%"
"124";"P 5";"6894";"13";"1797";"1058";"0";"0";"3.34";"0";"-";"-";"100%,25%,50%"
"125";"P 5";"6907";"13";"1867";"1058";"0";"0";"3.3";"0";"-";"-";"100%,25%,50%"
"126";"P 5";"6921";"13";"1890";"1091";"0";"0";"3.31";"0";"-";"-";"100%,25%,50%"
"127";"P 5";"6962";"41";"1890";"673";"0";"0";"-1";"3.3";"-";"-";"100%,50%"
