"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 33";"0";"0";"2072";"1048";"0";"0";"4.78";"4.83";"2019";"985";"100%,50%"
"2";"P 33";"13";"13";"2082";"1051";"0";"0";"4.84";"4.85";"2019";"985";"100%,50%"
"3";"P 33";"27";"13";"2029";"998";"0";"0";"4.8";"4.8";"2019";"985";"100%,50%"
"4";"P 33";"40";"13";"2079";"978";"0";"0";"4.8";"4.81";"2019";"985";"100%,50%"
"5";"P 33";"54";"13";"2059";"1054";"0";"0";"4.84";"0";"2019";"985";"100%,50%"
"6";"P 33";"81";"27";"2059";"1001";"0";"0";"4.8";"0";"2019";"985";"100%,50%"
"7";"P 33";"94";"13";"2009";"1117";"0";"0";"0";"4.82";"2019";"985";"100%,25%,50%"
"8";"P 33";"108";"13";"1993";"1084";"0";"0";"0";"4.8";"2019";"985";"100%,25%,50%"
"9";"P 33";"121";"13";"2072";"1038";"0";"0";"4.81";"0";"2086";"988";"100%,50%"
"10";"P 33";"148";"27";"2076";"1094";"0";"0";"4.84";"4.8";"2086";"988";"100%,50%"
"11";"P 33";"162";"13";"2066";"1041";"0";"0";"4.81";"4.83";"2086";"988";"100%,50%"
"12";"P 33";"175";"13";"2049";"1091";"0";"0";"4.77";"4.77";"2086";"988";"100%,50%"
"13";"P 33";"202";"27";"2013";"1124";"0";"0";"0";"4.8";"2086";"988";"100%,25%,50%"
"14";"P 33";"216";"13";"2026";"1041";"0";"0";"4.76";"0";"3206";"743";"100%,50%"
"15";"P 33";"229";"13";"2072";"1018";"0";"0";"4.78";"4.75";"3206";"743";"100%,50%"
"16";"P 33";"243";"13";"1996";"1044";"0";"0";"0";"4.75";"3206";"743";"100%,50%"
"17";"P 33";"256";"13";"2062";"1018";"0";"0";"4.78";"4.82";"3206";"743";"100%,50%"
"18";"P 33";"270";"13";"2069";"1078";"0";"0";"4.79";"0";"3206";"743";"100%,50%"
"19";"P 33";"283";"13";"2069";"1005";"0";"0";"4.75";"4.86";"3206";"743";"100%,50%"
"20";"P 33";"297";"13";"1986";"1078";"0";"0";"0";"4.81";"3206";"743";"100%,25%,50%"
"21";"P 33";"324";"27";"2072";"1041";"0";"0";"4.82";"4.84";"3206";"743";"100%,50%"
"22";"P 33";"337";"13";"2059";"1081";"0";"0";"4.94";"0";"3206";"743";"100%,50%"
"23";"P 33";"351";"13";"2059";"1018";"0";"0";"4.77";"4.82";"3206";"743";"100%,50%"
"24";"P 33";"364";"13";"2062";"1087";"0";"0";"4.81";"4.81";"3206";"743";"100%,50%"
