"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 20";"0";"0";"1890";"680";"0";"0";"2.95";"2.95";"2699";"1273";"100%,50%"
"2";"P 20";"27";"27";"2009";"540";"0";"0";"2.91";"2.9";"2699";"1273";"100%"
"3";"P 20";"68";"41";"1956";"627";"0";"0";"2.88";"2.94";"2699";"1273";"100%"
"4";"P 20";"82";"13";"1983";"786";"0";"0";"2.88";"0";"2699";"1273";"100%,50%"
"5";"P 20";"96";"13";"1870";"550";"0";"0";"2.84";"3.01";"2699";"1273";"100%"
"6";"P 20";"110";"13";"1943";"703";"0";"0";"2.85";"2.99";"2699";"1273";"100%,50%"
"7";"P 20";"123";"13";"1970";"123";"0";"0";"-1";"-1";"2699";"1273";"100%"
"8";"P 20";"137";"13";"2003";"660";"0";"0";"2.95";"2.92";"2699";"1273";"100%"
"9";"P 20";"165";"27";"1890";"955";"0";"0";"0";"3.05";"2699";"1273";"100%,50%"
"10";"P 20";"179";"13";"1903";"487";"0";"0";"2.95";"2.88";"2699";"1273";"100%"
"11";"P 20";"206";"27";"1950";"2026";"0";"0";"2.95";"0";"2699";"1273";"100%"
"12";"P 20";"220";"13";"1887";"782";"0";"0";"0";"2.95";"2699";"1273";"100%,50%"
"13";"P 20";"247";"27";"1840";"700";"0";"0";"0";"2.94";"2699";"1273";"100%,50%"
"14";"P 20";"261";"13";"1900";"802";"0";"0";"0";"3";"2699";"1273";"100%,50%"
"15";"P 20";"275";"13";"1953";"521";"0";"0";"2.96";"2.94";"2699";"1273";"100%"
"16";"P 20";"289";"13";"2009";"517";"0";"0";"2.93";"3.02";"2699";"1273";"100%"
"17";"P 20";"303";"13";"1936";"809";"0";"0";"3.02";"3.03";"2699";"1273";"100%,50%"
"18";"P 20";"316";"13";"2026";"756";"0";"0";"3";"3.01";"2699";"1273";"100%,50%"
"19";"P 20";"330";"13";"1529";"428";"0";"0";"2.95";"3.09";"2699";"1273";"100%"
"20";"P 20";"344";"13";"1671";"822";"0";"0";"3.02";"0";"2699";"1273";"100%,50%"
"21";"P 20";"358";"13";"1645";"782";"0";"0";"3.07";"3.01";"2699";"1273";"100%,50%"
"22";"P 20";"371";"13";"1592";"806";"0";"0";"0";"3.06";"2699";"1273";"100%,50%"
"23";"P 20";"385";"13";"1558";"799";"0";"0";"3.01";"3.1";"2699";"1273";"100%,50%"
"24";"P 20";"413";"27";"1638";"792";"0";"0";"3.03";"3.1";"2699";"1273";"100%,50%"
"25";"P 20";"427";"13";"1608";"812";"0";"0";"3.03";"0";"2699";"1273";"100%,50%"
"26";"P 20";"440";"13";"1588";"700";"0";"0";"3.06";"3.1";"2699";"1273";"100%,50%"
"27";"P 20";"454";"13";"1638";"630";"0";"0";"3.04";"3.2";"2699";"1273";"100%"
"28";"P 20";"468";"13";"1598";"637";"0";"0";"3.05";"3.2";"2699";"1273";"100%"
"29";"P 20";"482";"13";"1562";"832";"0";"0";"3.14";"3.13";"2699";"1273";"100%,50%"
