"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 24";"0";"0";"2092";"975";"0";"0";"3.24";"0";"-";"-";"100%,50%"
"2";"P 24";"13";"13";"2092";"1034";"0";"0";"3.26";"3.57";"-";"-";"100%,50%"
"3";"P 24";"27";"13";"2096";"1011";"0";"0";"3.3";"3.54";"-";"-";"100%,50%"
"4";"P 24";"41";"13";"2069";"1078";"0";"0";"3.31";"3.52";"-";"-";"100%,50%"
"5";"P 24";"55";"14";"2105";"1001";"0";"0";"3.29";"3.57";"-";"-";"100%,50%"
"6";"P 24";"70";"14";"2086";"991";"0";"0";"3.28";"3.55";"-";"-";"100%,50%"
"7";"P 24";"84";"14";"2082";"1034";"0";"0";"3.33";"3.57";"-";"-";"100%,50%"
"8";"P 24";"98";"14";"2079";"1005";"0";"0";"3.31";"3.59";"-";"-";"100%,50%"
"9";"P 24";"112";"14";"2069";"1051";"0";"0";"3.27";"3.58";"-";"-";"100%,50%"
"10";"P 24";"126";"14";"2125";"1001";"0";"0";"3.25";"3.57";"-";"-";"100%,50%"
"11";"P 24";"140";"14";"2102";"978";"0";"0";"3.32";"3.57";"-";"-";"100%,50%"
"12";"P 24";"154";"14";"2082";"1028";"0";"0";"3.35";"3.61";"-";"-";"100%,50%"
"13";"P 24";"168";"14";"2089";"1041";"0";"0";"3.37";"0";"-";"-";"100%,50%"
"14";"P 24";"182";"14";"2119";"995";"0";"0";"3.34";"3.61";"-";"-";"100%,50%"
"15";"P 24";"196";"14";"2089";"998";"0";"0";"3.33";"0";"-";"-";"100%,50%"
"16";"P 24";"210";"14";"2089";"1008";"0";"0";"3.34";"3.61";"-";"-";"100%,50%"
"17";"P 24";"224";"14";"2115";"1011";"0";"0";"3.36";"3.62";"-";"-";"100%,50%"
"18";"P 24";"238";"14";"2109";"1044";"0";"0";"3.31";"3.68";"-";"-";"100%,50%"
"19";"P 24";"252";"14";"2268";"1290";"0";"0";"0";"3.67";"-";"-";"100%,50%"
"20";"P 24";"267";"14";"2105";"1011";"0";"0";"3.42";"3.66";"-";"-";"100%,50%"
"21";"P 24";"281";"13";"2125";"955";"0";"0";"3.37";"3.65";"-";"-";"100%,50%"
"22";"P 24";"295";"14";"2089";"1038";"0";"0";"3.36";"3.6";"-";"-";"100%,50%"
"23";"P 24";"309";"14";"2112";"998";"0";"0";"3.37";"3.66";"-";"-";"100%,50%"
"24";"P 24";"323";"14";"2102";"1001";"0";"0";"3.42";"3.68";"-";"-";"100%,50%"
"25";"P 24";"337";"14";"2102";"1031";"0";"0";"3.39";"3.74";"-";"-";"100%,50%"
"26";"P 24";"351";"14";"2086";"995";"0";"0";"3.4";"3.73";"-";"-";"100%,50%"
"27";"P 24";"365";"14";"2105";"1024";"0";"0";"3.45";"3.7";"-";"-";"100%,50%"
"28";"P 24";"379";"14";"2099";"1011";"0";"0";"3.43";"3.72";"-";"-";"100%,50%"
"29";"P 24";"393";"14";"2092";"1064";"0";"0";"3.54";"3.72";"-";"-";"100%,50%"
"30";"P 24";"407";"14";"2102";"1005";"0";"0";"3.46";"3.72";"-";"-";"100%,50%"
"31";"P 24";"421";"14";"1996";"1061";"0";"0";"3.46";"3.71";"-";"-";"100%,50%"
"32";"P 24";"435";"14";"1628";"2221";"0";"0";"3.93";"0";"-";"-";"100%"
"33";"P 24";"463";"28";"1721";"1157";"0";"0";"3.49";"0";"-";"-";"10%,100%,25%,50%"
"34";"P 24";"478";"14";"1698";"1107";"0";"0";"3.5";"0";"-";"-";"100%,25%,50%"
"35";"P 24";"492";"14";"1721";"1137";"0";"0";"3.5";"3.91";"-";"-";"10%,100%,25%,50%"
"36";"P 24";"506";"14";"1727";"1167";"0";"0";"3.51";"3.86";"-";"-";"10%,100%,25%,50%"
"37";"P 24";"534";"28";"1701";"1184";"0";"0";"3.56";"3.86";"-";"-";"10%,100%,25%,50%"
"38";"P 24";"548";"14";"1575";"1422";"0";"0";"0";"3.87";"-";"-";"100%,25%,50%"
"39";"P 24";"562";"14";"1688";"1190";"0";"0";"3.52";"3.87";"-";"-";"10%,100%,25%,50%"
"40";"P 24";"576";"14";"1701";"902";"0";"0";"-1";"0";"-";"-";"100%,50%"
"41";"P 24";"590";"14";"1671";"1187";"0";"0";"3.58";"3.95";"-";"-";"10%,100%,25%,50%"
