"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 50";"0";"0";"2202";"1094";"0";"0";"0";"4.28";"2019";"1058";"100%,50%"
"2";"P 50";"13";"13";"2006";"859";"0";"0";"4.03";"4.27";"2019";"1058";"100%,50%"
"3";"P 50";"27";"13";"1970";"782";"0";"0";"3.99";"4.24";"2019";"1058";"100%,50%"
"4";"P 50";"53";"26";"1996";"802";"0";"0";"4.01";"4.25";"2019";"1058";"100%,50%"
"5";"P 50";"67";"13";"1993";"806";"0";"0";"4.03";"4.23";"2019";"1058";"100%,50%"
"6";"P 50";"80";"13";"1966";"812";"0";"0";"4.04";"4.31";"2019";"1058";"100%,50%"
"7";"P 50";"94";"13";"1996";"782";"0";"0";"4";"4.24";"2019";"1058";"100%,50%"
"8";"P 50";"107";"13";"1976";"845";"0";"0";"4.04";"4.25";"2019";"1058";"100%,50%"
"9";"P 50";"121";"13";"1966";"802";"0";"0";"3.95";"4.23";"2019";"1058";"100%,50%"
"10";"P 50";"135";"13";"1979";"882";"0";"0";"4";"0";"2019";"1058";"100%,50%"
"11";"P 50";"148";"13";"2006";"799";"0";"0";"4.03";"4.31";"2019";"1058";"100%,50%"
"12";"P 50";"162";"13";"1996";"756";"0";"0";"-1";"4.26";"2019";"1058";"100%,50%"
"13";"P 50";"175";"13";"1966";"759";"0";"0";"4.04";"0";"2019";"1058";"100%,50%"
"14";"P 50";"202";"27";"1979";"796";"0";"0";"4.02";"4.27";"2019";"1058";"100%,50%"
"15";"P 50";"216";"13";"1999";"799";"0";"0";"3.99";"4.24";"2019";"1058";"100%,50%"
"16";"P 50";"229";"13";"2238";"958";"0";"0";"0";"4.31";"2019";"1058";"100%,50%"
"17";"P 50";"243";"13";"2198";"1001";"0";"0";"0";"4.29";"2019";"1058";"100%,50%"
"18";"P 50";"256";"13";"1979";"845";"0";"0";"3.98";"0";"2019";"1058";"100%,50%"
"19";"P 50";"270";"13";"2039";"908";"0";"0";"4.06";"4.34";"2019";"1058";"100%,50%"
"20";"P 50";"283";"13";"2003";"1495";"0";"0";"0";"4.3";"2019";"1058";"100%,50%"
"21";"P 50";"2726";"2442";"2351";"842";"0";"0";"0";"-1";"2019";"1058";"100%"
"22";"P 50";"2954";"227";"1820";"908";"0";"0";"3.46";"0";"2019";"1058";"100%,50%"
"23";"P 50";"3841";"887";"1681";"1131";"0";"0";"3.32";"0";"2019";"1058";"100%,25%,50%"
"24";"P 50";"4080";"239";"1787";"1121";"0";"0";"3.4";"3.25";"2019";"1058";"100%,25%,50%"
"25";"P 50";"4318";"237";"2026";"1170";"0";"0";"0";"3.58";"2019";"1058";"100%,25%,50%"
"26";"P 50";"4655";"337";"1953";"1207";"0";"0";"0";"3.75";"2019";"1058";"100%,25%,50%"
"27";"P 50";"4737";"81";"1993";"1084";"0";"0";"0";"3.9";"2019";"1058";"100%,25%,50%"
"28";"P 50";"4764";"26";"2105";"1074";"0";"0";"0";"3.86";"2019";"1058";"100%,50%"
"29";"P 50";"4791";"27";"1890";"1197";"0";"0";"3.6";"4.12";"2019";"1058";"100%,25%,50%"
"30";"P 50";"4817";"26";"1916";"1197";"0";"0";"3.63";"3.98";"2019";"1058";"100%,25%,50%"
"31";"P 50";"4845";"27";"2096";"1213";"0";"0";"0";"3.98";"2019";"1058";"100%,50%"
"32";"P 50";"4858";"13";"1907";"1180";"0";"0";"3.68";"0";"2019";"1058";"100%,25%,50%"
"33";"P 50";"4872";"13";"2056";"1044";"0";"0";"0";"3.96";"2019";"1058";"100%,50%"
"34";"P 50";"4885";"13";"1890";"1187";"0";"0";"3.71";"3.97";"2019";"1058";"100%,25%,50%"
"35";"P 50";"4899";"13";"1903";"1194";"0";"0";"3.7";"3.94";"2019";"1058";"100%,25%,50%"
"36";"P 50";"4912";"13";"2056";"1021";"0";"0";"0";"4.04";"2019";"1058";"100%,50%"
"37";"P 50";"4926";"13";"2079";"1107";"0";"0";"0";"3.98";"2019";"1058";"100%,50%"
"38";"P 50";"4939";"13";"1893";"1164";"0";"0";"3.69";"4.05";"2019";"1058";"100%,25%,50%"
"39";"P 50";"4953";"13";"2069";"1164";"0";"0";"0";"3.99";"2019";"1058";"100%,50%"
"40";"P 50";"4966";"13";"1883";"1121";"0";"0";"3.76";"4.02";"2019";"1058";"100%,25%,50%"
"41";"P 50";"4980";"13";"1877";"1180";"0";"0";"3.72";"3.98";"2019";"1058";"100%,25%,50%"
"42";"P 50";"4993";"13";"2079";"1084";"0";"0";"0";"4.04";"2019";"1058";"100%,50%"
"43";"P 50";"5007";"13";"1797";"1217";"0";"0";"3.72";"4.05";"2019";"1058";"10%,100%,25%,50%"
"44";"P 50";"5020";"13";"1757";"1200";"0";"0";"3.7";"4.02";"2019";"1058";"10%,100%,25%,50%"
"45";"P 50";"5034";"13";"1774";"1164";"0";"0";"3.64";"4.06";"2019";"1058";"10%,100%,25%,50%"
"46";"P 50";"5048";"13";"1764";"1150";"0";"0";"3.64";"4.04";"2019";"1058";"10%,100%,25%,50%"
"47";"P 50";"5061";"13";"1810";"1144";"0";"0";"3.68";"4.09";"2019";"1058";"10%,100%,25%,50%"
"48";"P 50";"5075";"13";"1731";"1117";"0";"0";"3.65";"4.04";"2019";"1058";"100%,25%,50%"
"49";"P 50";"5088";"13";"1804";"1111";"0";"0";"3.68";"0";"2019";"1058";"100%,25%,50%"
"50";"P 50";"5102";"13";"1747";"1174";"0";"0";"3.67";"4";"2019";"1058";"10%,100%,25%,50%"
"51";"P 50";"5115";"13";"1817";"1164";"0";"0";"3.72";"4";"2019";"1058";"10%,100%,25%,50%"
"52";"P 50";"5128";"13";"1774";"1174";"0";"0";"3.74";"4.03";"2019";"1058";"10%,100%,25%,50%"
"53";"P 50";"5142";"13";"1751";"1137";"0";"0";"3.7";"4";"2019";"1058";"10%,100%,25%,50%"
"54";"P 50";"5155";"13";"1936";"1068";"0";"0";"0";"3.96";"2019";"1058";"100%,25%,50%"
"55";"P 50";"5169";"13";"1764";"1197";"0";"0";"3.66";"3.98";"2019";"1058";"10%,100%,25%,50%"
"56";"P 50";"5182";"13";"1754";"1164";"0";"0";"3.67";"4.02";"2019";"1058";"10%,100%,25%,50%"
"57";"P 50";"5196";"13";"1804";"1117";"0";"0";"3.64";"3.98";"2019";"1058";"100%,25%,50%"
"58";"P 50";"5210";"13";"1727";"1141";"0";"0";"3.71";"3.99";"2019";"1058";"10%,100%,25%,50%"
"59";"P 50";"5223";"13";"1731";"1091";"0";"0";"3.63";"0";"2019";"1058";"100%,25%,50%"
"60";"P 50";"5250";"27";"1979";"1091";"0";"0";"0";"3.98";"2019";"1058";"100%,25%,50%"
"61";"P 50";"5264";"13";"1771";"1167";"0";"0";"3.65";"3.95";"2019";"1058";"10%,100%,25%,50%"
"62";"P 50";"5277";"13";"1708";"1184";"0";"0";"3.62";"3.98";"2019";"1058";"10%,100%,25%,50%"
"63";"P 50";"5291";"13";"1718";"1217";"0";"0";"3.58";"3.96";"2019";"1058";"10%,100%,25%,50%"
"64";"P 50";"5304";"13";"1810";"1104";"0";"0";"3.62";"0";"2019";"1058";"100%,25%,50%"
"65";"P 50";"5318";"13";"1963";"1061";"0";"0";"0";"3.87";"2019";"1058";"100%,25%,50%"
"66";"P 50";"5331";"13";"1764";"1160";"0";"0";"3.61";"3.95";"2019";"1058";"10%,100%,25%,50%"
"67";"P 50";"5345";"13";"1747";"1124";"0";"0";"3.59";"3.93";"2019";"1058";"100%,25%,50%"
"68";"P 50";"5358";"13";"1734";"1164";"0";"0";"3.62";"3.95";"2019";"1058";"10%,100%,25%,50%"
"69";"P 50";"5372";"13";"1691";"1131";"0";"0";"3.6";"3.93";"2019";"1058";"100%,25%,50%"
"70";"P 50";"5386";"13";"1744";"1107";"0";"0";"3.61";"3.92";"2019";"1058";"100%,25%,50%"
"71";"P 50";"5399";"13";"1727";"1190";"0";"0";"3.6";"3.9";"2019";"1058";"10%,100%,25%,50%"
"72";"P 50";"5412";"13";"1694";"1154";"0";"0";"3.61";"3.93";"2019";"1058";"10%,100%,25%,50%"
"73";"P 50";"5426";"13";"1751";"1091";"0";"0";"3.64";"3.93";"2019";"1058";"100%,25%,50%"
"74";"P 50";"5440";"13";"1754";"1094";"0";"0";"3.56";"3.95";"2019";"1058";"100%,25%,50%"
"75";"P 50";"5453";"13";"1744";"1157";"0";"0";"3.57";"3.96";"2019";"1058";"10%,100%,25%,50%"
"76";"P 50";"5466";"13";"1724";"1154";"0";"0";"3.62";"3.96";"2019";"1058";"10%,100%,25%,50%"
"77";"P 50";"5480";"13";"1734";"1041";"0";"0";"3.59";"3.96";"2019";"1058";"100%,25%,50%"
"78";"P 50";"5493";"12";"1731";"1094";"0";"0";"3.58";"0";"2019";"1058";"100%,25%,50%"
"79";"P 50";"5507";"14";"1797";"739";"0";"0";"-1";"3.97";"2019";"1058";"100%,50%"
"80";"P 50";"5520";"13";"1754";"1154";"0";"0";"3.61";"3.99";"2019";"1058";"10%,100%,25%,50%"
"81";"P 50";"5534";"13";"1963";"1054";"0";"0";"0";"3.97";"2019";"1058";"100%,25%,50%"
"82";"P 50";"5548";"13";"1757";"1150";"0";"0";"3.6";"3.94";"2019";"1058";"10%,100%,25%,50%"
"83";"P 50";"5561";"13";"1814";"1097";"0";"0";"3.69";"3.95";"2019";"1058";"100%,25%,50%"
"84";"P 50";"5575";"13";"2241";"1134";"0";"0";"3.54";"3.98";"2019";"1058";"100%,50%"
"85";"P 50";"5588";"13";"2430";"1959";"0";"0";"0";"3.93";"2019";"1058";"100%"
"86";"P 50";"5602";"13";"2858";"2460";"0";"0";"3.65";"0";"2019";"1058";"-"
"87";"P 50";"5683";"81";"2394";"633";"0";"0";"-1";"0";"2019";"1058";"100%"
"88";"P 50";"5710";"26";"2099";"2003";"0";"0";"3.7";"0";"2019";"1058";"100%"
"89";"P 50";"5724";"13";"2006";"879";"0";"0";"3.84";"0";"2019";"1058";"100%,50%"
"90";"P 50";"5764";"40";"2202";"1104";"0";"0";"3.6";"0";"2019";"1058";"100%,50%"
"91";"P 50";"5778";"13";"2112";"1094";"0";"0";"3.61";"0";"2019";"1058";"100%,50%"
"92";"P 50";"5791";"13";"2062";"1134";"0";"0";"3.58";"3.91";"2019";"1058";"100%,50%"
"93";"P 50";"5818";"26";"2033";"865";"0";"0";"3.59";"3.93";"2019";"1058";"100%,50%"
"94";"P 50";"5831";"13";"2354";"1101";"0";"0";"0";"3.96";"2019";"1058";"100%"
"95";"P 50";"5872";"40";"2016";"1048";"0";"0";"3.6";"4";"2019";"1058";"100%,50%"
"96";"P 50";"5886";"13";"1973";"1084";"0";"0";"3.54";"3.98";"2019";"1058";"100%,25%,50%"
"97";"P 50";"5899";"13";"1996";"1028";"0";"0";"3.58";"0";"2019";"1058";"100%,50%"
"98";"P 50";"5913";"13";"2016";"1028";"0";"0";"3.49";"0";"2019";"1058";"100%,50%"
"99";"P 50";"5926";"13";"2268";"1064";"0";"0";"0";"3.96";"2019";"1058";"100%,50%"
"100";"P 50";"5940";"13";"2009";"1015";"0";"0";"3.54";"3.92";"2019";"1058";"100%,50%"
"101";"P 50";"5953";"13";"2046";"1011";"0";"0";"3.51";"0";"2019";"1058";"100%,50%"
"102";"P 50";"5967";"13";"1734";"985";"0";"0";"3.57";"3.96";"2019";"1058";"100%,25%,50%"
"103";"P 50";"5980";"13";"1810";"978";"0";"0";"3.54";"0";"2019";"1058";"100%,25%,50%"
"104";"P 50";"5994";"13";"1860";"1038";"0";"0";"3.51";"3.97";"2019";"1058";"100%,25%,50%"
"105";"P 50";"6008";"13";"1767";"1028";"0";"0";"3.54";"3.93";"2019";"1058";"100%,25%,50%"
"106";"P 50";"6021";"13";"1824";"1084";"0";"0";"3.46";"3.86";"2019";"1058";"100%,25%,50%"
"107";"P 50";"6035";"13";"1853";"1114";"0";"0";"3.44";"3.86";"2019";"1058";"100%,25%,50%"
"108";"P 50";"6048";"13";"1764";"1024";"0";"0";"3.36";"3.85";"2019";"1058";"100%,25%,50%"
"109";"P 50";"6062";"13";"1764";"1104";"0";"0";"3.41";"3.84";"2019";"1058";"100%,25%,50%"
"110";"P 50";"6075";"13";"1794";"1044";"0";"0";"3.4";"3.8";"2019";"1058";"100%,25%,50%"
"111";"P 50";"6089";"13";"1853";"1005";"0";"0";"0";"3.77";"2019";"1058";"100%,25%,50%"
"112";"P 50";"6116";"27";"1800";"1160";"0";"0";"3.33";"0";"2019";"1058";"10%,100%,25%,50%"
"113";"P 50";"6129";"13";"1674";"1064";"0";"0";"3.3";"3.72";"2019";"1058";"100%,25%,50%"
