"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 47";"0";"0";"2517";"1230";"0";"0";"5.15";"0";"-";"-";"100%"
"2";"P 47";"27";"27";"2616";"961";"0";"0";"5.18";"0";"-";"-";"100%"
"3";"P 47";"40";"13";"2606";"799";"0";"0";"5.19";"0";"-";"-";"100%"
"4";"P 47";"53";"13";"2590";"723";"0";"0";"5.26";"0";"-";"-";"100%"
"5";"P 47";"81";"27";"2573";"746";"0";"0";"5.24";"0";"-";"-";"100%"
"6";"P 47";"107";"26";"2543";"640";"0";"0";"5.23";"0";"-";"-";"100%"
"7";"P 47";"121";"13";"2510";"610";"0";"0";"5.21";"5.53";"-";"-";"100%"
"8";"P 47";"135";"13";"2407";"554";"0";"0";"0";"5.6";"-";"-";"100%"
"9";"P 47";"148";"13";"2527";"723";"0";"0";"5.28";"0";"-";"-";"100%"
"10";"P 47";"175";"26";"2540";"749";"0";"0";"5.26";"0";"-";"-";"100%"
"11";"P 47";"189";"13";"2570";"597";"0";"0";"5.3";"0";"-";"-";"100%"
"12";"P 47";"202";"13";"2354";"869";"0";"0";"5.31";"0";"-";"-";"100%"
"13";"P 47";"216";"13";"1966";"1343";"0";"0";"5.29";"5.52";"-";"-";"100%,25%,50%"
"14";"P 47";"229";"13";"1920";"912";"0";"0";"5.18";"5.44";"-";"-";"100%,50%"
"15";"P 47";"243";"13";"1907";"1074";"0";"0";"5.11";"0";"-";"-";"100%,25%,50%"
"16";"P 47";"256";"13";"1867";"1041";"0";"0";"5.09";"0";"-";"-";"100%,25%,50%"
"17";"P 47";"270";"13";"1873";"991";"0";"0";"4.96";"0";"-";"-";"100%,25%,50%"
"18";"P 47";"283";"13";"1797";"1081";"0";"0";"4.94";"5.21";"-";"-";"100%,25%,50%"
"19";"P 47";"297";"13";"1920";"1104";"0";"0";"4.93";"0";"-";"-";"100%,25%,50%"
"20";"P 47";"310";"13";"1900";"1038";"0";"0";"4.84";"5.15";"-";"-";"100%,25%,50%"
"21";"P 47";"324";"13";"1916";"1131";"0";"0";"4.83";"0";"-";"-";"100%,25%,50%"
"22";"P 47";"337";"13";"1900";"1117";"0";"0";"4.68";"0";"-";"-";"100%,25%,50%"
"23";"P 47";"351";"13";"1708";"1071";"0";"0";"0";"4.89";"-";"-";"100%,25%,50%"
"24";"P 47";"364";"13";"1711";"1101";"0";"0";"0";"4.85";"-";"-";"100%,25%,50%"
"25";"P 47";"392";"27";"1863";"1197";"0";"0";"4.51";"0";"-";"-";"10%,100%,25%,50%"
"26";"P 47";"418";"26";"1847";"1124";"0";"0";"4.43";"0";"-";"-";"100%,25%,50%"
"27";"P 47";"432";"13";"1840";"1194";"0";"0";"4.38";"0";"-";"-";"10%,100%,25%,50%"
