"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 1-1";"0";"0";"2616";"1983";"0";"0";"6.62";"0";"-";"-";"100%"
"2";"P 1-1";"13";"13";"2112";"1101";"0";"0";"6.46";"0";"-";"-";"100%,50%"
"3";"P 1-1";"27";"13";"1877";"865";"0";"0";"6.54";"6.01";"-";"-";"100%,50%"
"4";"P 1-1";"40";"13";"1956";"892";"0";"0";"6.5";"0";"-";"-";"100%,50%"
"5";"P 1-1";"54";"13";"1970";"318";"0";"0";"0";"6.08";"-";"-";"100%"
"6";"P 1-1";"67";"13";"1946";"690";"0";"0";"6.56";"6.08";"-";"-";"100%,50%"
"7";"P 1-1";"81";"13";"1950";"729";"0";"0";"6.51";"6.08";"-";"-";"100%,50%"
"8";"P 1-1";"94";"13";"1920";"610";"0";"0";"6.5";"6.02";"-";"-";"100%"
"9";"P 1-1";"108";"13";"1963";"540";"0";"0";"6.43";"0";"-";"-";"100%"
"10";"P 1-1";"121";"13";"1996";"968";"0";"0";"6.4";"6.03";"-";"-";"100%,50%"
"11";"P 1-1";"135";"13";"1933";"786";"0";"0";"6.29";"5.92";"-";"-";"100%,50%"
"12";"P 1-1";"148";"13";"1966";"829";"0";"0";"6.29";"0";"-";"-";"100%,50%"
"13";"P 1-1";"162";"13";"1910";"640";"0";"0";"6.27";"5.88";"-";"-";"100%"
"14";"P 1-1";"175";"13";"1943";"852";"0";"0";"6.12";"5.78";"-";"-";"100%,50%"
"15";"P 1-1";"189";"13";"1943";"650";"0";"0";"6.12";"5.7";"-";"-";"100%"
"16";"P 1-1";"203";"13";"1986";"584";"0";"0";"5.99";"5.59";"-";"-";"100%"
"17";"P 1-1";"216";"13";"1655";"948";"0";"0";"5.86";"5.55";"-";"-";"100%,50%"
"18";"P 1-1";"229";"13";"1651";"1091";"0";"0";"5.8";"5.4";"-";"-";"100%,25%,50%"
"19";"P 1-1";"243";"13";"1631";"1041";"0";"0";"5.69";"5.4";"-";"-";"100%,25%,50%"
"20";"P 1-1";"257";"13";"1681";"776";"0";"0";"5.67";"5.34";"-";"-";"100%,50%"
"21";"P 1-1";"270";"13";"1655";"1008";"0";"0";"5.55";"5.25";"-";"-";"100%,25%,50%"
"22";"P 1-1";"284";"13";"1694";"1015";"0";"0";"5.54";"5.22";"-";"-";"100%,25%,50%"
"23";"P 1-1";"297";"13";"1658";"1061";"0";"0";"5.48";"5.12";"-";"-";"100%,25%,50%"
"24";"P 1-1";"311";"13";"1671";"895";"0";"0";"5.39";"0";"-";"-";"100%,50%"
"25";"P 1-1";"325";"13";"1674";"988";"0";"0";"5.34";"5";"-";"-";"100%,25%,50%"
"26";"P 1-1";"338";"13";"1704";"902";"0";"0";"5.27";"5";"-";"-";"100%,50%"
"27";"P 1-1";"351";"13";"1764";"1008";"0";"0";"5.22";"4.94";"-";"-";"100%,25%,50%"
"28";"P 1-1";"365";"13";"1840";"1207";"0";"0";"5.22";"0";"-";"-";"10%,100%,25%,50%"
"29";"P 1-1";"379";"13";"1870";"1320";"0";"0";"5.17";"4.83";"-";"-";"100%,25%,50%"
"30";"P 1-1";"392";"13";"1863";"1233";"0";"0";"5.05";"0";"-";"-";"10%,100%,25%,50%"
"31";"P 1-1";"405";"13";"1671";"1177";"0";"0";"0";"4.79";"-";"-";"10%,100%,25%,50%"
"32";"P 1-1";"419";"13";"1907";"1220";"0";"0";"5.06";"4.78";"-";"-";"100%,25%,50%"
"33";"P 1-1";"433";"13";"1920";"1210";"0";"0";"4.99";"4.74";"-";"-";"100%,25%,50%"
"34";"P 1-1";"446";"13";"1897";"1147";"0";"0";"4.93";"4.67";"-";"-";"100%,25%,50%"
"35";"P 1-1";"460";"13";"1727";"1300";"0";"0";"0";"4.65";"-";"-";"10%,100%,25%,50%"
"36";"P 1-1";"473";"13";"1907";"1134";"0";"0";"4.89";"4.64";"-";"-";"100%,25%,50%"
"37";"P 1-1";"487";"13";"1674";"1180";"0";"0";"0";"4.65";"-";"-";"10%,100%,25%,50%"
"38";"P 1-1";"500";"13";"1910";"1200";"0";"0";"4.78";"0";"-";"-";"100%,25%,50%"
"39";"P 1-1";"527";"27";"1930";"1197";"0";"0";"4.8";"4.59";"-";"-";"100%,25%,50%"
"40";"P 1-1";"541";"13";"1970";"1243";"0";"0";"4.78";"4.55";"-";"-";"100%,25%,50%"
"41";"P 1-1";"554";"13";"1943";"1187";"0";"0";"4.79";"4.53";"-";"-";"100%,25%,50%"
"42";"P 1-1";"568";"13";"1840";"1237";"0";"0";"4.75";"0";"-";"-";"10%,100%,25%,50%"
