"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 17";"0";"0";"1542";"1449";"0";"0";"0";"4.79";"2560";"816";"100%,25%,50%"
"2";"P 17";"370";"370";"1439";"908";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"3";"P 17";"472";"102";"1426";"1101";"0";"0";"0";"4.6";"2560";"816";"100%,50%"
"4";"P 17";"487";"14";"1661";"1177";"0";"0";"0";"4.67";"2560";"816";"10%,100%,25%,50%"
"5";"P 17";"516";"29";"1618";"1127";"0";"0";"0";"4.65";"2560";"816";"100%,25%,50%"
"6";"P 17";"546";"29";"1592";"1104";"0";"0";"0";"4.65";"2560";"816";"100%,25%,50%"
"7";"P 17";"575";"29";"1608";"1150";"0";"0";"0";"4.64";"2560";"816";"100%,25%,50%"
"8";"P 17";"634";"58";"1273";"1071";"0";"0";"0";"4.69";"2560";"816";"100%,50%"
"9";"P 17";"663";"29";"1535";"1223";"0";"0";"0";"4.77";"2560";"816";"100%,25%,50%"
"10";"P 17";"766";"102";"1313";"885";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"11";"P 17";"869";"102";"1452";"802";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"12";"P 17";"898";"29";"1399";"1121";"0";"0";"0";"5.02";"2560";"816";"100%,50%"
"13";"P 17";"942";"43";"1532";"922";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"14";"P 17";"971";"29";"1552";"845";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"15";"P 17";"1045";"73";"1512";"862";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"16";"P 17";"1118";"73";"1558";"779";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"17";"P 17";"1265";"146";"1449";"922";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"18";"P 17";"1323";"58";"1456";"849";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"19";"P 17";"1455";"131";"1482";"889";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"20";"P 17";"1529";"73";"1429";"932";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"21";"P 17";"1558";"29";"1459";"812";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"22";"P 17";"1646";"87";"1485";"1061";"0";"0";"0";"5.16";"2560";"816";"100%,50%"
"23";"P 17";"1661";"14";"1568";"1131";"0";"0";"0";"5.16";"2560";"816";"100%,25%,50%"
"24";"P 17";"1749";"88";"1548";"1107";"0";"0";"0";"5.17";"2560";"816";"100%,25%,50%"
"25";"P 17";"1763";"14";"1502";"1091";"0";"0";"0";"5.22";"2560";"816";"100%,25%,50%"
"26";"P 17";"1837";"73";"1492";"1217";"0";"0";"0";"5.26";"2560";"816";"100%,25%,50%"
"27";"P 17";"1881";"43";"1515";"1227";"0";"0";"0";"5.26";"2560";"816";"100%,25%,50%"
"28";"P 17";"1910";"29";"1519";"1247";"0";"0";"0";"5.29";"2560";"816";"100%,25%,50%"
"29";"P 17";"1954";"43";"1519";"1210";"0";"0";"0";"5.25";"2560";"816";"100%,25%,50%"
"30";"P 17";"1984";"29";"1545";"1220";"0";"0";"0";"5.25";"2560";"816";"100%,25%,50%"
"31";"P 17";"2027";"43";"1442";"1300";"0";"0";"0";"5.32";"2560";"816";"100%,50%"
"32";"P 17";"2057";"29";"1509";"710";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"33";"P 17";"2086";"29";"1512";"952";"0";"0";"0";"-1";"2560";"816";"100%,50%"
"34";"P 17";"2116";"29";"1572";"1306";"0";"0";"0";"5.32";"2560";"816";"100%,25%,50%"
"35";"P 17";"2145";"29";"1482";"1286";"0";"0";"0";"5.33";"2560";"816";"100%,25%,50%"
"36";"P 17";"2189";"43";"1519";"1157";"0";"0";"0";"5.26";"2560";"816";"100%,25%,50%"
"37";"P 17";"2233";"44";"1522";"1190";"0";"0";"0";"5.29";"2560";"816";"100%,25%,50%"
"38";"P 17";"2277";"43";"1509";"1170";"0";"0";"0";"5.21";"2560";"816";"100%,25%,50%"
"39";"P 17";"2321";"44";"1535";"1270";"0";"0";"0";"5.22";"2560";"816";"100%,25%,50%"
"40";"P 17";"2379";"58";"1489";"1200";"0";"0";"0";"5.08";"2560";"816";"100%,25%,50%"
"41";"P 17";"2424";"44";"1399";"1164";"0";"0";"0";"5.02";"2560";"816";"100%,50%"
"42";"P 17";"2482";"58";"1419";"1117";"0";"0";"0";"5.02";"2560";"816";"100%,50%"
"43";"P 17";"2512";"29";"1439";"1197";"0";"0";"0";"5";"2560";"816";"100%,50%"
"44";"P 17";"2541";"29";"1412";"1071";"0";"0";"0";"5.01";"2560";"816";"100%,50%"
"45";"P 17";"2570";"29";"1466";"1157";"0";"0";"0";"5.03";"2560";"816";"100%,50%"
"46";"P 17";"2600";"29";"1383";"1363";"0";"0";"0";"5.21";"2560";"816";"100%,50%"
"47";"P 17";"2658";"58";"1393";"1316";"0";"0";"0";"5.24";"2560";"816";"100%,50%"
"48";"P 17";"2688";"29";"1472";"1187";"0";"0";"0";"5.22";"2560";"816";"100%,25%,50%"
"49";"P 17";"2732";"43";"1562";"1290";"0";"0";"0";"5.34";"2560";"816";"100%,25%,50%"
"50";"P 17";"2761";"29";"1505";"1379";"0";"0";"0";"5.29";"2560";"816";"100%,25%,50%"
"51";"P 17";"2775";"14";"1522";"1253";"0";"0";"0";"5.31";"2560";"816";"100%,25%,50%"
"52";"P 17";"2805";"29";"1558";"1260";"0";"0";"0";"5.37";"2560";"816";"100%,25%,50%"
"53";"P 17";"2834";"29";"1495";"1253";"0";"0";"0";"5.41";"2560";"816";"100%,25%,50%"
"54";"P 17";"2922";"88";"1558";"1253";"0";"0";"0";"5.47";"2560";"816";"100%,25%,50%"
"55";"P 17";"2966";"43";"1608";"1227";"0";"0";"0";"5.5";"2560";"816";"100%,25%,50%"
"56";"P 17";"2996";"29";"1638";"1243";"0";"0";"0";"5.41";"2560";"816";"100%,25%,50%"
"57";"P 17";"3040";"43";"1572";"1220";"0";"0";"0";"5.47";"2560";"816";"100%,25%,50%"
"58";"P 17";"3084";"43";"1509";"1230";"0";"0";"0";"5.43";"2560";"816";"100%,25%,50%"
"59";"P 17";"3113";"29";"1552";"1326";"0";"0";"0";"5.5";"2560";"816";"100%,25%,50%"
"60";"P 17";"3157";"43";"1618";"1303";"0";"0";"0";"5.46";"2560";"816";"100%,25%,50%"
"61";"P 17";"3216";"58";"1565";"1260";"0";"0";"0";"5.45";"2560";"816";"100%,25%,50%"
"62";"P 17";"3245";"29";"1532";"1243";"0";"0";"0";"5.4";"2560";"816";"100%,25%,50%"
"63";"P 17";"3274";"29";"1578";"1263";"0";"0";"0";"5.47";"2560";"816";"100%,25%,50%"
"64";"P 17";"3304";"29";"1552";"1190";"0";"0";"0";"5.44";"2560";"816";"100%,25%,50%"
"65";"P 17";"3333";"29";"1532";"1237";"0";"0";"0";"5.36";"2560";"816";"100%,25%,50%"
"66";"P 17";"3362";"29";"1625";"1356";"0";"0";"0";"5.46";"2560";"816";"100%,25%,50%"
"67";"P 17";"3465";"102";"1482";"1213";"0";"0";"0";"5.35";"2560";"816";"100%,25%,50%"
"68";"P 17";"3539";"73";"1601";"1323";"0";"0";"0";"5.37";"2560";"816";"100%,25%,50%"
"69";"P 17";"3568";"29";"1475";"1270";"0";"0";"0";"5.33";"2560";"816";"100%,25%,50%"
"70";"P 17";"3597";"29";"1393";"1131";"0";"0";"0";"5.28";"2560";"816";"100%,50%"
"71";"P 17";"3627";"29";"1495";"1127";"0";"0";"0";"5.31";"2560";"816";"100%,25%,50%"
