"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 32";"0";"0";"1446";"1200";"0";"0";"5.1";"5.17";"2268";"1048";"100%,50%"
"2";"P 32";"13";"13";"1429";"1184";"0";"0";"5";"5.19";"2268";"1048";"100%,50%"
"3";"P 32";"27";"13";"1432";"1157";"0";"0";"5.01";"5.2";"2268";"1048";"100%,50%"
"4";"P 32";"40";"13";"1452";"1144";"0";"0";"5.01";"5.27";"2268";"1048";"100%,50%"
"5";"P 32";"54";"13";"1459";"1137";"0";"0";"5.03";"5.2";"2268";"1048";"100%,50%"
"6";"P 32";"67";"13";"1442";"1164";"0";"0";"5.05";"5.28";"2268";"1048";"100%,50%"
"7";"P 32";"81";"13";"1432";"1187";"0";"0";"5.12";"0";"2268";"1048";"100%,50%"
"8";"P 32";"94";"13";"1436";"1204";"0";"0";"5.07";"5.22";"2268";"1048";"100%,50%"
"9";"P 32";"108";"13";"1409";"1157";"0";"0";"5.08";"5.22";"2268";"1048";"100%,50%"
"10";"P 32";"121";"13";"1389";"1164";"0";"0";"5.05";"5.26";"2268";"1048";"100%,50%"
"11";"P 32";"135";"13";"1432";"1283";"0";"0";"5.1";"5.24";"2268";"1048";"100%,50%"
"12";"P 32";"148";"13";"1472";"1840";"0";"0";"5.08";"5.26";"2268";"1048";"100%"
"13";"P 32";"730";"581";"1661";"1628";"0";"0";"6.32";"0";"2268";"1048";"100%,50%"
"14";"P 32";"865";"135";"1993";"179";"0";"0";"4.91";"0";"2268";"1048";"100%"
"15";"P 32";"878";"13";"1873";"381";"0";"0";"4.82";"0";"2268";"1048";"100%"
"16";"P 32";"892";"13";"1887";"580";"0";"0";"4.79";"0";"2268";"1048";"100%"
"17";"P 32";"906";"13";"1910";"630";"0";"0";"4.83";"0";"2268";"1048";"100%"
"18";"P 32";"919";"13";"1850";"570";"0";"0";"4.61";"0";"2268";"1048";"100%"
"19";"P 32";"932";"13";"1900";"600";"0";"0";"4.49";"0";"2268";"1048";"100%"
"20";"P 32";"946";"13";"1913";"637";"0";"0";"4.6";"5.69";"2268";"1048";"100%"
"21";"P 32";"960";"13";"1890";"587";"0";"0";"4.5";"0";"2268";"1048";"100%"
"22";"P 32";"973";"13";"1953";"560";"0";"0";"4.41";"4.65";"2268";"1048";"100%"
"23";"P 32";"986";"13";"1827";"703";"0";"0";"0";"4.54";"2268";"1048";"100%,50%"
"24";"P 32";"1000";"13";"1824";"693";"0";"0";"0";"4.43";"2268";"1048";"100%,50%"
"25";"P 32";"1014";"13";"1694";"1005";"0";"0";"0";"4.39";"2268";"1048";"100%,25%,50%"
"26";"P 32";"1027";"13";"1645";"1164";"0";"0";"0";"4.42";"2268";"1048";"100%,25%,50%"
"27";"P 32";"1041";"13";"1645";"1160";"0";"0";"0";"4.36";"2268";"1048";"100%,25%,50%"
"28";"P 32";"1068";"27";"1638";"1200";"0";"0";"0";"4.35";"2268";"1048";"100%,25%,50%"
"29";"P 32";"1081";"13";"1648";"1170";"0";"0";"0";"4.28";"2268";"1048";"100%,25%,50%"
"30";"P 32";"1095";"13";"1664";"1187";"0";"0";"0";"4.28";"2268";"1048";"10%,100%,25%,50%"
"31";"P 32";"1108";"13";"1774";"1111";"0";"0";"4.17";"4.31";"2268";"1048";"100%,25%,50%"
"32";"P 32";"1122";"13";"1658";"1177";"0";"0";"0";"4.25";"2268";"1048";"100%,25%,50%"
"33";"P 32";"1135";"13";"1751";"1015";"0";"0";"-1";"4.25";"2268";"1048";"100%,25%,50%"
"34";"P 32";"1149";"13";"1784";"1117";"0";"0";"4.22";"4.2";"2268";"1048";"100%,25%,50%"
"35";"P 32";"1162";"13";"1774";"1071";"0";"0";"4.17";"4.19";"2268";"1048";"100%,25%,50%"
"36";"P 32";"1176";"13";"1661";"1194";"0";"0";"0";"4.26";"2268";"1048";"10%,100%,25%,50%"
"37";"P 32";"1189";"13";"1648";"1150";"0";"0";"0";"4.18";"2268";"1048";"100%,25%,50%"
