"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 2";"0";"0";"1403";"1452";"0";"0";"0";"5.64";"-";"-";"100%,50%"
"2";"P 2";"13";"13";"1485";"1432";"0";"0";"0";"5.63";"-";"-";"100%,50%"
"3";"P 2";"41";"27";"1383";"1469";"0";"0";"0";"5.64";"-";"-";"100%,50%"
"4";"P 2";"69";"27";"1422";"1422";"0";"0";"0";"5.73";"-";"-";"100%,50%"
"5";"P 2";"96";"27";"1359";"1495";"0";"0";"0";"5.64";"-";"-";"100%,50%"
"6";"P 2";"124";"27";"1456";"1492";"0";"0";"0";"5.69";"-";"-";"100%,50%"
"7";"P 2";"137";"13";"1396";"1462";"0";"0";"0";"5.67";"-";"-";"100%,50%"
"8";"P 2";"165";"27";"1416";"1482";"0";"0";"0";"5.76";"-";"-";"100%,50%"
"9";"P 2";"179";"13";"1446";"1509";"0";"0";"0";"5.73";"-";"-";"100%,50%"
"10";"P 2";"192";"13";"1436";"1446";"0";"0";"0";"5.77";"-";"-";"100%,50%"
"11";"P 2";"314";"121";"1409";"1393";"0";"0";"0";"5.71";"-";"-";"100%,50%"
"12";"P 2";"327";"13";"1439";"1499";"0";"0";"0";"5.89";"-";"-";"100%,50%"
"13";"P 2";"341";"13";"1578";"477";"0";"0";"0";"5.99";"-";"-";"100%"
"14";"P 2";"369";"27";"1406";"1396";"0";"0";"0";"5.77";"-";"-";"100%,50%"
"15";"P 2";"382";"13";"1412";"1402";"0";"0";"0";"5.81";"-";"-";"100%,50%"
"16";"P 2";"396";"13";"1393";"1525";"0";"0";"0";"5.81";"-";"-";"100%,50%"
"17";"P 2";"451";"55";"1459";"1283";"0";"0";"0";"5.88";"-";"-";"100%,25%,50%"
"18";"P 2";"465";"13";"1406";"1429";"0";"0";"0";"5.89";"-";"-";"100%,50%"
"19";"P 2";"479";"13";"1568";"1409";"0";"0";"0";"5.83";"-";"-";"100%,25%,50%"
"20";"P 2";"493";"13";"1684";"1598";"0";"0";"0";"5.94";"-";"-";"100%,50%"
"21";"P 2";"507";"13";"1688";"1611";"0";"0";"0";"5.92";"-";"-";"100%,50%"
"22";"P 2";"520";"13";"1684";"1628";"0";"0";"0";"5.94";"-";"-";"100%,50%"
"23";"P 2";"534";"13";"1761";"1601";"0";"0";"0";"5.81";"-";"-";"100%,50%"
"24";"P 2";"576";"41";"1790";"1631";"0";"0";"0";"5.89";"-";"-";"100%,50%"
"25";"P 2";"589";"13";"1777";"1555";"0";"0";"0";"6.03";"-";"-";"100%,50%"
"26";"P 2";"603";"13";"1797";"1528";"0";"0";"0";"6.04";"-";"-";"100%,25%,50%"
"27";"P 2";"617";"13";"1781";"1585";"0";"0";"0";"5.97";"-";"-";"100%,50%"
"28";"P 2";"714";"96";"1711";"1545";"0";"0";"0";"5.93";"-";"-";"100%,50%"
"29";"P 2";"741";"27";"1747";"1651";"0";"0";"0";"5.95";"-";"-";"100%,50%"
"30";"P 2";"755";"13";"1701";"1588";"0";"0";"0";"6.04";"-";"-";"100%,50%"
"31";"P 2";"783";"27";"1754";"1601";"0";"0";"0";"5.91";"-";"-";"100%,50%"
"32";"P 2";"796";"13";"1807";"1528";"0";"0";"0";"6.11";"-";"-";"100%,25%,50%"
"33";"P 2";"852";"55";"1615";"1605";"0";"0";"0";"6.07";"-";"-";"100%,50%"
"34";"P 2";"865";"13";"829";"239";"0";"0";"5.26";"6.03";"-";"-";"-"
"35";"P 2";"879";"13";"1817";"673";"0";"0";"0";"6.01";"-";"-";"100%,50%"
"36";"P 2";"893";"13";"1575";"1661";"0";"0";"0";"5.98";"-";"-";"100%,50%"
"37";"P 2";"907";"13";"1572";"1588";"0";"0";"0";"5.84";"-";"-";"100%,50%"
"38";"P 2";"920";"13";"1512";"1635";"0";"0";"0";"5.85";"-";"-";"100%,50%"
"39";"P 2";"934";"13";"1515";"1664";"0";"0";"0";"5.73";"-";"-";"100%,50%"
"40";"P 2";"948";"13";"1535";"1688";"0";"0";"0";"5.77";"-";"-";"100%,50%"
"41";"P 2";"962";"14";"1542";"1648";"0";"0";"0";"5.58";"-";"-";"100%,50%"
"42";"P 2";"976";"13";"1509";"1717";"0";"0";"0";"5.51";"-";"-";"100%,50%"
"43";"P 2";"1003";"27";"1545";"1704";"0";"0";"0";"5.51";"-";"-";"100%,50%"
"44";"P 2";"1017";"13";"1475";"1684";"0";"0";"0";"5.37";"-";"-";"100%,50%"
"45";"P 2";"1045";"27";"1482";"1631";"0";"0";"0";"5.25";"-";"-";"100%,50%"
"46";"P 2";"1086";"41";"1479";"1691";"0";"0";"0";"5.14";"-";"-";"100%,50%"
"47";"P 2";"1114";"27";"1482";"1635";"0";"0";"0";"5";"-";"-";"100%,50%"
"48";"P 2";"1141";"27";"1429";"1684";"0";"0";"0";"4.92";"-";"-";"100%,50%"
"49";"P 2";"1155";"13";"1472";"1704";"0";"0";"0";"4.94";"-";"-";"100%,50%"
"50";"P 2";"1169";"13";"1462";"1727";"0";"0";"0";"4.96";"-";"-";"100%,50%"
"51";"P 2";"1182";"13";"1452";"1774";"0";"0";"0";"5.02";"-";"-";"100%"
"52";"P 2";"1210";"27";"1436";"1651";"0";"0";"0";"4.78";"-";"-";"100%,50%"
"53";"P 2";"1238";"27";"1426";"1754";"0";"0";"0";"4.67";"-";"-";"100%"
"54";"P 2";"1265";"27";"1432";"1654";"0";"0";"0";"4.58";"-";"-";"100%,50%"
"55";"P 2";"1279";"13";"1419";"1707";"0";"0";"0";"4.64";"-";"-";"100%,50%"
"56";"P 2";"1831";"551";"1313";"1628";"0";"0";"0";"4.29";"-";"-";"100%,50%"
"57";"P 2";"1858";"27";"1330";"1644";"0";"0";"0";"4.47";"-";"-";"100%,50%"
"58";"P 2";"2010";"151";"1290";"1661";"0";"0";"0";"3.86";"-";"-";"100%"
"59";"P 2";"2631";"620";"733";"550";"0";"0";"5.4";"0";"-";"-";"-"
"60";"P 2";"2658";"27";"1306";"1804";"0";"0";"0";"4.41";"-";"-";"100%"
