"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 41";"0";"0";"2023";"1243";"0";"0";"3.84";"0";"2182";"968";"100%,25%,50%"
"2";"P 41";"469";"469";"1810";"1800";"0";"0";"3.89";"3.92";"2185";"981";"100%,50%"
"3";"P 41";"547";"78";"1857";"1479";"0";"0";"3.97";"0";"2185";"981";"100%,25%,50%"
"4";"P 41";"574";"26";"1810";"1509";"0";"0";"3.96";"3.98";"2185";"981";"100%,25%,50%"
"5";"P 41";"587";"13";"1757";"1396";"0";"0";"3.95";"3.91";"2185";"981";"100%,25%,50%"
"6";"P 41";"601";"13";"1777";"1442";"0";"0";"3.97";"3.92";"2185";"981";"100%,25%,50%"
"7";"P 41";"628";"27";"1840";"1482";"0";"0";"4.01";"3.93";"2185";"981";"100%,25%,50%"
"8";"P 41";"642";"13";"1787";"1485";"0";"0";"3.98";"0";"2185";"981";"100%,25%,50%"
"9";"P 41";"655";"13";"1784";"1495";"0";"0";"4";"3.85";"2185";"981";"100%,25%,50%"
"10";"P 41";"682";"27";"1784";"1495";"0";"0";"0";"4.01";"2185";"981";"100%,25%,50%"
"11";"P 41";"761";"78";"1787";"620";"0";"0";"-1";"3.92";"2185";"981";"100%"
"12";"P 41";"774";"13";"1880";"1426";"0";"0";"3.98";"3.92";"2185";"981";"100%,25%,50%"
"13";"P 41";"787";"13";"1867";"1442";"0";"0";"3.99";"3.89";"2185";"981";"100%,25%,50%"
"14";"P 41";"801";"13";"1893";"1502";"0";"0";"4.01";"3.92";"2185";"981";"100%,25%,50%"
"15";"P 41";"815";"13";"1907";"1475";"0";"0";"4.04";"3.94";"2185";"981";"100%,25%,50%"
"16";"P 41";"842";"27";"1721";"1383";"0";"0";"3.99";"3.94";"2185";"981";"100%,25%,50%"
"17";"P 41";"855";"13";"1701";"1436";"0";"0";"4.01";"3.96";"2185";"981";"100%,25%,50%"
"18";"P 41";"869";"13";"1718";"1402";"0";"0";"4.03";"3.89";"2185";"981";"100%,25%,50%"
"19";"P 41";"882";"13";"1820";"1363";"0";"0";"3.97";"3.91";"2185";"981";"100%,25%,50%"
"20";"P 41";"895";"13";"1704";"1373";"0";"0";"3.97";"3.93";"2185";"981";"100%,25%,50%"
"21";"P 41";"923";"27";"1757";"2208";"0";"0";"4.69";"3.92";"2185";"981";"100%"
"22";"P 41";"950";"26";"1708";"1346";"0";"0";"3.94";"3.94";"2185";"981";"100%,25%,50%"
"23";"P 41";"977";"26";"1708";"1346";"0";"0";"0";"4.45";"2185";"981";"100%,25%,50%"
"24";"P 41";"1004";"27";"1721";"1519";"0";"0";"-1";"4.41";"2185";"981";"100%,25%,50%"
