"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 6";"0";"0";"1976";"1074";"0";"0";"5.6";"5.63";"2069";"1015";"100%,25%,50%"
"2";"P 6";"17";"17";"2036";"1068";"0";"0";"5.63";"0";"2069";"1015";"100%,50%"
"3";"P 6";"35";"17";"1741";"1064";"0";"0";"5.63";"5.59";"2069";"1015";"100%,25%,50%"
"4";"P 6";"53";"17";"1655";"1031";"0";"0";"5.56";"5.6";"2069";"1015";"100%,25%,50%"
"5";"P 6";"70";"17";"1651";"968";"0";"0";"5.54";"5.59";"2069";"1015";"100%,25%,50%"
"6";"P 6";"88";"17";"1691";"1018";"0";"0";"5.54";"5.55";"2069";"1015";"100%,25%,50%"
"7";"P 6";"106";"17";"1658";"981";"0";"0";"5.52";"5.61";"2069";"1015";"100%,25%,50%"
"8";"P 6";"123";"17";"1681";"1001";"0";"0";"5.56";"5.57";"2069";"1015";"100%,25%,50%"
"9";"P 6";"141";"17";"1688";"981";"0";"0";"5.48";"5.48";"2069";"1015";"100%,25%,50%"
"10";"P 6";"159";"17";"1691";"968";"0";"0";"5.43";"5.55";"2069";"1015";"100%,25%,50%"
"11";"P 6";"176";"17";"1718";"1061";"0";"0";"5.52";"5.54";"2069";"1015";"100%,25%,50%"
"12";"P 6";"194";"17";"1684";"995";"0";"0";"5.45";"5.55";"2069";"1015";"100%,25%,50%"
"13";"P 6";"212";"17";"1674";"1011";"0";"0";"5.46";"5.51";"2069";"1015";"100%,25%,50%"
"14";"P 6";"229";"17";"1684";"1038";"0";"0";"5.49";"5.5";"2069";"1015";"100%,25%,50%"
"15";"P 6";"247";"17";"1671";"1041";"0";"0";"5.47";"5.52";"2069";"1015";"100%,25%,50%"
"16";"P 6";"265";"17";"1691";"1048";"0";"0";"5.38";"5.52";"2069";"1015";"100%,25%,50%"
"17";"P 6";"282";"17";"1691";"1074";"0";"0";"5.41";"5.47";"2069";"1015";"100%,25%,50%"
"18";"P 6";"300";"17";"1731";"1031";"0";"0";"5.5";"5.47";"2069";"1015";"100%,25%,50%"
"19";"P 6";"318";"17";"1704";"1071";"0";"0";"5.47";"0";"2069";"1015";"100%,25%,50%"
"20";"P 6";"335";"17";"1681";"1015";"0";"0";"5.49";"5.52";"2069";"1015";"100%,25%,50%"
"21";"P 6";"353";"17";"1658";"1074";"0";"0";"5.5";"5.51";"2069";"1015";"100%,25%,50%"
"22";"P 6";"371";"17";"1721";"1001";"0";"0";"5.43";"5.46";"2069";"1015";"100%,25%,50%"
"23";"P 6";"388";"17";"1727";"1074";"0";"0";"5.51";"5.47";"2069";"1015";"100%,25%,50%"
"24";"P 6";"406";"17";"2341";"1621";"0";"0";"5.55";"5.51";"2069";"1015";"100%"
"25";"P 6";"424";"17";"3418";"2165";"0";"0";"5.49";"5.41";"2069";"1015";"-"
"26";"P 6";"725";"300";"3422";"2321";"0";"0";"5.9";"5.51";"2069";"1015";"-"
"27";"P 6";"742";"17";"2470";"1883";"0";"0";"5.89";"5.74";"2069";"1015";"100%"
"28";"P 6";"760";"17";"2066";"1449";"0";"0";"5.92";"5.94";"2069";"1015";"100%,50%"
"29";"P 6";"778";"17";"2066";"1449";"0";"0";"5.86";"5.88";"2069";"1015";"100%,50%"
"30";"P 6";"795";"17";"2052";"1465";"0";"0";"5.83";"5.84";"2069";"1015";"100%,50%"
"31";"P 6";"813";"17";"2105";"1462";"0";"0";"5.72";"5.86";"2069";"1015";"100%,50%"
"32";"P 6";"831";"17";"2066";"1499";"0";"0";"5.72";"5.78";"2069";"1015";"100%,50%"
"33";"P 6";"848";"17";"2092";"1449";"0";"0";"5.57";"5.64";"2069";"1015";"100%,50%"
