"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 3";"0";"0";"2626";"1847";"0";"0";"4.74";"0";"-";"-";"100%"
"2";"P 3";"13";"13";"2132";"1393";"0";"0";"4.62";"0";"-";"-";"100%,50%"
"3";"P 3";"26";"13";"2082";"1310";"0";"0";"4.65";"0";"-";"-";"100%,50%"
"4";"P 3";"39";"13";"2072";"1286";"0";"0";"4.65";"0";"-";"-";"100%,50%"
"5";"P 3";"53";"13";"2049";"1310";"0";"0";"4.68";"0";"-";"-";"100%,50%"
"6";"P 3";"66";"13";"2049";"1253";"0";"0";"4.61";"4.7";"-";"-";"100%,50%"
"7";"P 3";"79";"13";"2049";"1293";"0";"0";"4.65";"0";"-";"-";"100%,50%"
"8";"P 3";"93";"13";"2076";"1290";"0";"0";"4.6";"0";"-";"-";"100%,50%"
"9";"P 3";"106";"13";"2059";"1323";"0";"0";"4.6";"0";"-";"-";"100%,50%"
"10";"P 3";"119";"13";"2033";"1339";"0";"0";"4.62";"4.62";"-";"-";"100%,50%"
"11";"P 3";"132";"13";"1883";"1147";"0";"0";"4.58";"4.57";"-";"-";"100%,25%,50%"
"12";"P 3";"146";"13";"1883";"1024";"0";"0";"4.41";"4.5";"-";"-";"100%,25%,50%"
"13";"P 3";"159";"13";"1817";"1074";"0";"0";"4.37";"4.46";"-";"-";"100%,25%,50%"
"14";"P 3";"185";"26";"1847";"1174";"0";"0";"0";"4.33";"-";"-";"10%,100%,25%,50%"
"15";"P 3";"212";"26";"1834";"1144";"0";"0";"4.16";"0";"-";"-";"100%,25%,50%"
"16";"P 3";"225";"13";"1810";"1091";"0";"0";"4.16";"0";"-";"-";"100%,25%,50%"
"17";"P 3";"238";"13";"1883";"1127";"0";"0";"4.05";"4.11";"-";"-";"100%,25%,50%"
"18";"P 3";"252";"13";"1830";"1177";"0";"0";"4.02";"4.08";"-";"-";"10%,100%,25%,50%"
"19";"P 3";"265";"13";"1877";"1114";"0";"0";"3.99";"0";"-";"-";"100%,25%,50%"
"20";"P 3";"278";"13";"1847";"1048";"0";"0";"3.93";"0";"-";"-";"100%,25%,50%"
"21";"P 3";"292";"13";"1834";"1121";"0";"0";"3.91";"3.93";"-";"-";"100%,25%,50%"
"22";"P 3";"305";"12";"1827";"1131";"0";"0";"3.87";"0";"-";"-";"100%,25%,50%"
"23";"P 3";"318";"13";"1837";"1078";"0";"0";"3.77";"3.9";"-";"-";"100%,25%,50%"
"24";"P 3";"371";"53";"1807";"706";"0";"0";"3.71";"0";"-";"-";"100%,50%"
"25";"P 3";"398";"26";"1844";"1147";"0";"0";"3.65";"0";"-";"-";"100%,25%,50%"
"26";"P 3";"424";"26";"1767";"1184";"0";"0";"3.6";"-1";"-";"-";"10%,100%,25%,50%"
"27";"P 3";"451";"26";"1790";"1071";"0";"0";"3.57";"0";"-";"-";"100%,25%,50%"
"28";"P 3";"477";"26";"1827";"1081";"0";"0";"3.46";"0";"-";"-";"100%,25%,50%"
"29";"P 3";"583";"106";"1814";"1147";"0";"0";"3.5";"0";"-";"-";"10%,100%,25%,50%"
"30";"P 3";"610";"26";"1837";"1114";"0";"0";"3.52";"0";"-";"-";"100%,25%,50%"
"31";"P 3";"623";"13";"1860";"1081";"0";"0";"3.46";"0";"-";"-";"100%,25%,50%"
"32";"P 3";"4245";"3622";"1887";"1270";"0";"0";"0";"3.17";"-";"-";"100%,25%,50%"
"33";"P 3";"4856";"610";"1804";"1180";"0";"0";"3.53";"0";"-";"-";"10%,100%,25%,50%"
"34";"P 3";"4922";"66";"1834";"1127";"0";"0";"3.6";"0";"-";"-";"100%,25%,50%"
"35";"P 3";"4975";"53";"1897";"1061";"0";"0";"3.51";"0";"-";"-";"100%,25%,50%"
"36";"P 3";"5015";"39";"1830";"1200";"0";"0";"3.64";"0";"-";"-";"10%,100%,25%,50%"
"37";"P 3";"5055";"40";"1814";"1174";"0";"0";"3.6";"0";"-";"-";"10%,100%,25%,50%"
"38";"P 3";"5107";"52";"1824";"1141";"0";"0";"3.66";"0";"-";"-";"100%,25%,50%"
"39";"P 3";"5187";"79";"1794";"1180";"0";"0";"3.79";"0";"-";"-";"10%,100%,25%,50%"
"40";"P 3";"5227";"39";"1853";"1094";"0";"0";"3.85";"0";"-";"-";"100%,25%,50%"
"41";"P 3";"5306";"79";"1824";"1008";"0";"0";"3.87";"0";"-";"-";"100%,25%,50%"
"42";"P 3";"5359";"53";"1807";"1227";"0";"0";"3.85";"3.38";"-";"-";"10%,100%,25%,50%"
"43";"P 3";"5386";"26";"1800";"1104";"0";"0";"3.8";"0";"-";"-";"100%,25%,50%"
"44";"P 3";"5399";"13";"1824";"1154";"0";"0";"3.83";"0";"-";"-";"10%,100%,25%,50%"
"45";"P 3";"5425";"26";"1857";"1369";"0";"0";"4.03";"0";"-";"-";"100%,25%,50%"
"46";"P 3";"5452";"26";"1814";"1243";"0";"0";"3.76";"3.7";"-";"-";"10%,100%,25%,50%"
"47";"P 3";"5479";"26";"1817";"1144";"0";"0";"0";"3.65";"-";"-";"10%,100%,25%,50%"
"48";"P 3";"5505";"26";"1867";"1164";"0";"0";"0";"3.61";"-";"-";"100%,25%,50%"
"49";"P 3";"5518";"13";"1850";"1230";"0";"0";"3.75";"0";"-";"-";"10%,100%,25%,50%"
"50";"P 3";"5532";"13";"1804";"1217";"0";"0";"3.72";"0";"-";"-";"10%,100%,25%,50%"
"51";"P 3";"5545";"13";"1827";"1154";"0";"0";"0";"3.61";"-";"-";"10%,100%,25%,50%"
