"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 5";"0";"0";"2165";"872";"0";"0";"4.31";"4.79";"2102";"1041";"100%,50%"
"2";"P 5";"14";"14";"1794";"1227";"0";"0";"0";"4.73";"3349";"1283";"10%,100%,25%,50%"
"3";"P 5";"28";"14";"2049";"965";"0";"0";"4.44";"4.75";"3349";"1283";"100%,50%"
"4";"P 5";"42";"14";"1916";"889";"0";"0";"0";"4.73";"3349";"1283";"100%,50%"
"5";"P 5";"56";"13";"2076";"978";"0";"0";"4.35";"0";"3349";"1283";"100%,50%"
"6";"P 5";"70";"14";"2152";"1131";"0";"0";"4.43";"4.76";"3349";"1283";"100%,50%"
"7";"P 5";"84";"14";"2182";"1071";"0";"0";"4.51";"0";"3349";"1283";"100%,50%"
"8";"P 5";"98";"14";"2205";"1121";"0";"0";"4.44";"0";"3349";"1283";"100%,50%"
"9";"P 5";"112";"14";"2129";"865";"0";"0";"4.39";"0";"3349";"1283";"100%,50%"
"10";"P 5";"126";"14";"2149";"1515";"0";"0";"4.57";"4.72";"3349";"1283";"100%,50%"
"11";"P 5";"140";"14";"2105";"955";"0";"0";"4.49";"0";"3349";"1283";"100%,50%"
"12";"P 5";"154";"14";"2208";"481";"0";"0";"4.37";"4.78";"3349";"1283";"100%"
"13";"P 5";"168";"14";"2102";"1021";"0";"0";"4.41";"0";"3349";"1283";"100%,50%"
"14";"P 5";"196";"28";"1844";"2420";"0";"0";"0";"4.64";"3349";"1283";"-"
"15";"P 5";"478";"281";"1913";"30";"0";"0";"4.44";"4.68";"3349";"1283";"-"
"16";"P 5";"492";"14";"1966";"408";"0";"0";"4.51";"0";"3349";"1283";"100%"
"17";"P 5";"577";"84";"1863";"17";"0";"0";"4.53";"4.66";"3349";"1283";"-"
"18";"P 5";"619";"42";"1893";"216";"0";"0";"4.59";"0";"3349";"1283";"100%"
"19";"P 5";"633";"14";"1897";"46";"0";"0";"4.56";"4.79";"3349";"1283";"-"
"20";"P 5";"647";"13";"1824";"96";"0";"0";"4.57";"0";"3349";"1283";"100%"
"21";"P 5";"689";"42";"1817";"153";"0";"0";"4.62";"0";"3349";"1283";"100%"
"22";"P 5";"703";"13";"1870";"471";"0";"0";"4.72";"4.78";"3349";"1283";"100%"
"23";"P 5";"717";"13";"1840";"30";"0";"0";"4.67";"0";"3349";"1283";"-"
"24";"P 5";"745";"28";"1817";"80";"0";"0";"4.72";"0";"3349";"1283";"100%"
"25";"P 5";"760";"14";"1860";"76";"0";"0";"4.67";"0";"3349";"1283";"-"
"26";"P 5";"774";"14";"1847";"76";"0";"0";"4.64";"4.98";"3349";"1283";"-"
"27";"P 5";"858";"84";"1741";"971";"0";"0";"4.77";"4.93";"3349";"1283";"100%,25%,50%"
"28";"P 5";"872";"13";"1678";"703";"0";"0";"4.75";"0";"3349";"1283";"100%,50%"
"29";"P 5";"886";"14";"1734";"1276";"0";"0";"4.7";"4.9";"3349";"1283";"10%,100%,25%,50%"
"30";"P 5";"900";"14";"1814";"1290";"0";"0";"4.56";"0";"3349";"1283";"10%,100%,25%,50%"
"31";"P 5";"914";"14";"1771";"822";"0";"0";"4.44";"0";"3349";"1283";"100%,50%"
"32";"P 5";"928";"14";"1840";"922";"0";"0";"4.46";"0";"3349";"1283";"100%,50%"
"33";"P 5";"942";"13";"1953";"961";"0";"0";"4.33";"0";"3349";"1283";"100%,50%"
"34";"P 5";"957";"14";"1943";"945";"0";"0";"4.34";"4.54";"3349";"1283";"100%,50%"
"35";"P 5";"971";"14";"1920";"1031";"0";"0";"4.29";"4.53";"3349";"1283";"100%,25%,50%"
"36";"P 5";"985";"13";"1479";"1170";"0";"0";"0";"4.59";"3349";"1283";"100%,25%,50%"
"37";"P 5";"999";"14";"1979";"875";"0";"0";"4.17";"4.38";"3349";"1283";"100%,50%"
"38";"P 5";"1013";"13";"1946";"872";"0";"0";"4.13";"0";"3349";"1283";"100%,50%"
"39";"P 5";"1027";"14";"1903";"1101";"0";"0";"4.06";"4.2";"3349";"1283";"100%,25%,50%"
"40";"P 5";"1041";"14";"1963";"872";"0";"0";"3.94";"4.18";"3349";"1283";"100%,50%"
"41";"P 5";"1069";"28";"1970";"547";"0";"0";"3.83";"4.08";"3349";"1283";"100%"
"42";"P 5";"1083";"14";"1472";"348";"0";"0";"0";"3.98";"3349";"1283";"100%"
"43";"P 5";"1097";"13";"1989";"905";"0";"0";"3.82";"3.99";"3349";"1283";"100%,50%"
"44";"P 5";"1111";"14";"1999";"511";"0";"0";"3.72";"3.98";"3349";"1283";"100%"
"45";"P 5";"1126";"14";"1933";"484";"0";"0";"3.75";"3.91";"3349";"1283";"100%"
"46";"P 5";"1139";"13";"1956";"693";"0";"0";"3.68";"3.91";"3349";"1283";"100%,50%"
"47";"P 5";"1153";"13";"2175";"593";"0";"0";"3.59";"3.88";"3349";"1283";"100%"
"48";"P 5";"1168";"14";"2062";"504";"0";"0";"3.52";"3.84";"3349";"1283";"100%"
"49";"P 5";"1182";"14";"2195";"325";"0";"0";"3.46";"3.85";"3349";"1283";"100%"
"50";"P 5";"1196";"14";"1482";"149";"0";"0";"0";"3.8";"3349";"1283";"100%"
"51";"P 5";"1210";"14";"1970";"471";"0";"0";"3.45";"3.8";"3349";"1283";"100%"
"52";"P 5";"1224";"13";"2019";"404";"0";"0";"3.5";"0";"3349";"1283";"100%"
"53";"P 5";"1238";"14";"1940";"451";"0";"0";"3.48";"0";"3349";"1283";"100%"
"54";"P 5";"1252";"13";"2155";"448";"0";"0";"3.41";"3.7";"3349";"1283";"100%"
"55";"P 5";"1266";"13";"2275";"587";"0";"0";"3.45";"3.62";"3349";"1283";"100%"
"56";"P 5";"1280";"14";"2026";"189";"0";"0";"3.52";"3.69";"3349";"1283";"100%"
"57";"P 5";"1308";"28";"2042";"481";"0";"0";"3.52";"3.6";"3349";"1283";"100%"
"58";"P 5";"1322";"13";"2096";"696";"0";"0";"3.47";"3.53";"3349";"1283";"100%"
"59";"P 5";"1336";"14";"1923";"385";"0";"0";"3.37";"3.47";"3349";"1283";"100%"
"60";"P 5";"1350";"13";"2056";"627";"0";"0";"3.39";"3.55";"3349";"1283";"100%"
"61";"P 5";"1393";"42";"1956";"514";"0";"0";"3.36";"3.64";"3349";"1283";"100%"
"62";"P 5";"1407";"13";"2006";"179";"0";"0";"3.24";"0";"3349";"1283";"100%"
"63";"P 5";"1421";"14";"1936";"368";"0";"0";"3.37";"0";"3349";"1283";"100%"
"64";"P 5";"1435";"14";"1996";"292";"0";"0";"3.19";"3.49";"3349";"1283";"100%"
"65";"P 5";"1449";"14";"1923";"345";"0";"0";"3.19";"3.52";"3349";"1283";"100%"
"66";"P 5";"1463";"13";"1986";"753";"0";"0";"3.29";"0";"3349";"1283";"100%,50%"
"67";"P 5";"1491";"28";"1966";"491";"0";"0";"3.24";"3.44";"3349";"1283";"100%"
"68";"P 5";"1533";"42";"2159";"371";"0";"0";"3.22";"3.35";"3349";"1283";"100%"
"69";"P 5";"1548";"14";"1436";"259";"0";"0";"0";"3.42";"3349";"1283";"100%"
"70";"P 5";"1562";"14";"1953";"600";"0";"0";"3.28";"0";"3349";"1283";"100%"
"71";"P 5";"1590";"28";"2016";"30";"0";"0";"3.16";"0";"3349";"1283";"-"
"72";"P 5";"1604";"13";"2165";"782";"0";"0";"3.27";"3.38";"3349";"1283";"100%"
"73";"P 5";"1618";"14";"1983";"388";"0";"0";"3.21";"0";"3349";"1283";"100%"
"74";"P 5";"1688";"70";"2013";"219";"0";"0";"3.21";"0";"3349";"1283";"100%"
"75";"P 5";"1702";"13";"1996";"391";"0";"0";"3.04";"3.36";"3349";"1283";"100%"
"76";"P 5";"1745";"42";"1960";"10";"0";"0";"3.14";"0";"3349";"1283";"-"
"77";"P 5";"2068";"323";"1953";"305";"0";"0";"3.31";"0";"3349";"1283";"100%"
"78";"P 5";"2110";"42";"1900";"385";"0";"0";"3.27";"3.29";"3349";"1283";"100%"
"79";"P 5";"2125";"14";"2036";"461";"0";"0";"3.27";"0";"3349";"1283";"100%"
"80";"P 5";"2139";"14";"2013";"580";"0";"0";"3.28";"3.46";"3349";"1283";"100%"
"81";"P 5";"2181";"42";"1956";"700";"0";"0";"3.3";"3.35";"3349";"1283";"100%,50%"
"82";"P 5";"2195";"13";"1910";"192";"0";"0";"3.22";"3.36";"3349";"1283";"100%"
"83";"P 5";"2209";"14";"2016";"295";"0";"0";"3.21";"3.33";"3349";"1283";"100%"
"84";"P 5";"2223";"14";"1960";"361";"0";"0";"3.29";"3.37";"3349";"1283";"100%"
"85";"P 5";"2237";"14";"1993";"279";"0";"0";"3.34";"0";"3349";"1283";"100%"
"86";"P 5";"2251";"14";"2092";"66";"0";"0";"3.2";"0";"3349";"1283";"-"
"87";"P 5";"2279";"27";"1956";"348";"0";"0";"3.15";"3.44";"3349";"1283";"100%"
"88";"P 5";"2293";"14";"2016";"10";"0";"0";"3.01";"0";"3349";"1283";"-"
"89";"P 5";"2322";"28";"1863";"192";"0";"0";"3.16";"3.31";"3349";"1283";"100%"
"90";"P 5";"2336";"14";"1429";"736";"0";"0";"0";"3.32";"3349";"1283";"100%,50%"
"91";"P 5";"2364";"28";"1439";"10";"0";"0";"0";"3.26";"3349";"1283";"-"
"92";"P 5";"2434";"70";"1880";"53";"0";"0";"3.14";"3.21";"3349";"1283";"-"
"93";"P 5";"2462";"28";"1960";"225";"0";"0";"3.14";"0";"3349";"1283";"100%"
"94";"P 5";"2490";"28";"2072";"358";"0";"0";"3.16";"3.17";"3349";"1283";"100%"
"95";"P 5";"2589";"98";"1940";"199";"0";"0";"3.15";"0";"3349";"1283";"100%"
"96";"P 5";"2603";"14";"1993";"653";"0";"0";"3.15";"0";"3349";"1283";"100%"
"97";"P 5";"2617";"14";"1996";"328";"0";"0";"3.18";"0";"3349";"1283";"100%"
"98";"P 5";"2631";"14";"2182";"332";"0";"0";"3.09";"0";"3349";"1283";"100%"
"99";"P 5";"2659";"27";"1956";"172";"0";"0";"2.98";"0";"3349";"1283";"100%"
"100";"P 5";"2687";"28";"2049";"295";"0";"0";"3.02";"3.09";"3349";"1283";"100%"
"101";"P 5";"2701";"14";"1976";"222";"0";"0";"3.04";"0";"3349";"1283";"100%"
"102";"P 5";"2828";"126";"1555";"7";"0";"0";"0";"3.18";"3349";"1283";"-"
"103";"P 5";"2870";"42";"1936";"27";"0";"0";"3.03";"3.13";"3349";"1283";"-"
"104";"P 5";"2927";"56";"1976";"348";"0";"0";"3.08";"3.17";"3349";"1283";"100%"
"105";"P 5";"2941";"14";"1671";"298";"0";"0";"0";"3.21";"3349";"1283";"100%"
"106";"P 5";"2954";"13";"1956";"547";"0";"0";"3.11";"0";"3349";"1283";"100%"
"107";"P 5";"2969";"14";"1953";"298";"0";"0";"3.09";"0";"3349";"1283";"100%"
"108";"P 5";"2983";"14";"1873";"328";"0";"0";"3.02";"3.09";"3349";"1283";"100%"
"109";"P 5";"2997";"13";"1867";"196";"0";"0";"3.05";"3.16";"3349";"1283";"100%"
"110";"P 5";"3011";"14";"2049";"623";"0";"0";"3.11";"3.19";"3349";"1283";"100%"
"111";"P 5";"3039";"28";"1966";"206";"0";"0";"3.06";"0";"3349";"1283";"100%"
"112";"P 5";"3053";"13";"2026";"288";"0";"0";"3.06";"3.11";"3349";"1283";"100%"
"113";"P 5";"3082";"28";"1973";"401";"0";"0";"3.2";"0";"3349";"1283";"100%"
"114";"P 5";"3095";"13";"1993";"265";"0";"0";"3.02";"3.1";"3349";"1283";"100%"
"115";"P 5";"3124";"28";"1883";"129";"0";"0";"2.99";"0";"3349";"1283";"100%"
"116";"P 5";"3166";"42";"2016";"477";"0";"0";"3.1";"3.19";"3349";"1283";"100%"
"117";"P 5";"3180";"14";"2178";"444";"0";"0";"3.01";"0";"3349";"1283";"100%"
"118";"P 5";"3194";"14";"2112";"454";"0";"0";"3";"3.16";"3349";"1283";"100%"
"119";"P 5";"3208";"14";"1747";"106";"0";"0";"0";"3.2";"3349";"1283";"100%"
