"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 20";"0";"0";"2918";"2069";"0";"0";"3.1";"3.14";"-";"-";"-"
"2";"P 20";"13";"13";"2304";"1565";"0";"0";"3.14";"0";"-";"-";"100%"
"3";"P 20";"27";"13";"1794";"1087";"0";"0";"3.13";"0";"-";"-";"100%,25%,50%"
"4";"P 20";"40";"13";"1668";"1127";"0";"0";"3.09";"3.27";"-";"-";"100%,25%,50%"
"5";"P 20";"81";"40";"1721";"1011";"0";"0";"0";"3.31";"-";"-";"100%,25%,50%"
"6";"P 20";"94";"13";"1718";"1250";"0";"0";"3.05";"3.27";"-";"-";"10%,100%,25%,50%"
"7";"P 20";"108";"13";"1664";"1144";"0";"0";"3.05";"3.33";"-";"-";"100%,25%,50%"
"8";"P 20";"121";"13";"1595";"1114";"0";"0";"3.07";"0";"-";"-";"100%,25%,50%"
"9";"P 20";"135";"13";"1668";"1147";"0";"0";"3.12";"3.27";"-";"-";"100%,25%,50%"
"10";"P 20";"148";"13";"1661";"1107";"0";"0";"3.07";"3.32";"-";"-";"100%,25%,50%"
"11";"P 20";"189";"40";"1658";"1038";"0";"0";"3.06";"3.29";"-";"-";"100%,25%,50%"
"12";"P 20";"203";"13";"1767";"1051";"0";"0";"0";"3.28";"-";"-";"100%,25%,50%"
"13";"P 20";"230";"27";"1757";"1034";"0";"0";"0";"3.27";"-";"-";"100%,25%,50%"
"14";"P 20";"256";"26";"1648";"1134";"0";"0";"3.05";"3.29";"-";"-";"100%,25%,50%"
"15";"P 20";"270";"13";"1684";"1174";"0";"0";"3.06";"0";"-";"-";"10%,100%,25%,50%"
"16";"P 20";"284";"13";"1810";"1267";"0";"0";"2.96";"0";"-";"-";"10%,100%,25%,50%"
"17";"P 20";"310";"26";"1767";"1456";"0";"0";"3.05";"0";"-";"-";"100%,25%,50%"
"18";"P 20";"324";"13";"1847";"1243";"0";"0";"3.03";"0";"-";"-";"10%,100%,25%,50%"
"19";"P 20";"351";"26";"1747";"1393";"0";"0";"2.99";"3.05";"-";"-";"100%,25%,50%"
"20";"P 20";"365";"13";"1681";"1406";"0";"0";"2.96";"3.11";"-";"-";"100%,25%,50%"
"21";"P 20";"378";"13";"1741";"1326";"0";"0";"0";"3.04";"-";"-";"10%,100%,25%,50%"
"22";"P 20";"405";"26";"1688";"1515";"0";"0";"2.9";"0";"-";"-";"100%,25%,50%"
"23";"P 20";"446";"40";"1741";"1157";"0";"0";"0";"2.76";"-";"-";"10%,100%,25%,50%"
"24";"P 20";"459";"13";"1731";"1263";"0";"0";"0";"2.81";"-";"-";"10%,100%,25%,50%"
"25";"P 20";"473";"13";"1734";"1187";"0";"0";"0";"2.8";"-";"-";"10%,100%,25%,50%"
"26";"P 20";"514";"40";"1704";"1180";"0";"0";"2.47";"0";"-";"-";"10%,100%,25%,50%"
"27";"P 20";"527";"13";"1761";"1104";"0";"0";"2.45";"0";"-";"-";"100%,25%,50%"
"28";"P 20";"540";"13";"1747";"1204";"0";"0";"2.44";"0";"-";"-";"10%,100%,25%,50%"
"29";"P 20";"581";"40";"1830";"1210";"0";"0";"2.4";"0";"-";"-";"10%,100%,25%,50%"
"30";"P 20";"621";"40";"1790";"1097";"0";"0";"0";"2.35";"-";"-";"100%,25%,50%"
"31";"P 20";"635";"13";"1810";"1137";"0";"0";"2.28";"0";"-";"-";"100%,25%,50%"
"32";"P 20";"662";"27";"1800";"1180";"0";"0";"2.28";"2.36";"-";"-";"10%,100%,25%,50%"
"33";"P 20";"675";"13";"1757";"1200";"0";"0";"2.28";"0";"-";"-";"10%,100%,25%,50%"
"34";"P 20";"689";"13";"1757";"1164";"0";"0";"2.27";"0";"-";"-";"10%,100%,25%,50%"
"35";"P 20";"716";"27";"1777";"1164";"0";"0";"2.22";"0";"-";"-";"10%,100%,25%,50%"
"36";"P 20";"730";"13";"1771";"1084";"0";"0";"2.23";"0";"-";"-";"100%,25%,50%"
"37";"P 20";"743";"13";"1820";"981";"0";"0";"2.2";"0";"-";"-";"100%,25%,50%"
"38";"P 20";"770";"27";"1860";"1283";"0";"0";"2.26";"0";"-";"-";"10%,100%,25%,50%"
"39";"P 20";"784";"13";"1744";"1134";"0";"0";"0";"2.32";"-";"-";"10%,100%,25%,50%"
"40";"P 20";"797";"13";"1827";"978";"0";"0";"2.18";"2.25";"-";"-";"100%,25%,50%"
"41";"P 20";"811";"13";"1797";"1326";"0";"0";"2.27";"2.23";"-";"-";"10%,100%,25%,50%"
"42";"P 20";"825";"13";"1764";"1024";"0";"0";"2.19";"2.16";"-";"-";"100%,25%,50%"
"43";"P 20";"838";"13";"1850";"1323";"0";"0";"2.23";"2.27";"-";"-";"100%,25%,50%"
"44";"P 20";"851";"13";"1804";"1107";"0";"0";"2.17";"0";"-";"-";"100%,25%,50%"
"45";"P 20";"865";"13";"1810";"1107";"0";"0";"2.15";"0";"-";"-";"100%,25%,50%"
"46";"P 20";"878";"13";"1794";"1160";"0";"0";"2.18";"0";"-";"-";"10%,100%,25%,50%"
"47";"P 20";"892";"13";"1834";"1054";"0";"0";"2.09";"2.19";"-";"-";"100%,25%,50%"
"48";"P 20";"905";"13";"1897";"1081";"0";"0";"2.2";"2.18";"-";"-";"100%,25%,50%"
"49";"P 20";"919";"13";"1784";"975";"0";"0";"2.11";"2.22";"-";"-";"100%,25%,50%"
"50";"P 20";"932";"13";"1824";"995";"0";"0";"2.14";"2.21";"-";"-";"100%,25%,50%"
"51";"P 20";"959";"27";"1794";"965";"0";"0";"2.15";"2.24";"-";"-";"100%,25%,50%"
"52";"P 20";"973";"13";"1810";"1104";"0";"0";"2.09";"0";"-";"-";"100%,25%,50%"
"53";"P 20";"986";"13";"1834";"981";"0";"0";"0";"2.12";"-";"-";"100%,25%,50%"
"54";"P 20";"1000";"13";"1784";"1061";"0";"0";"2.14";"2.2";"-";"-";"100%,25%,50%"
"55";"P 20";"1014";"13";"1820";"1107";"0";"0";"2.15";"0";"-";"-";"100%,25%,50%"
"56";"P 20";"1041";"27";"1807";"1817";"0";"0";"2.09";"0";"-";"-";"100%,50%"
"57";"P 20";"1054";"13";"1787";"1015";"0";"0";"0";"2.16";"-";"-";"100%,25%,50%"
"58";"P 20";"1068";"13";"1794";"1154";"0";"0";"2.09";"2.17";"-";"-";"10%,100%,25%,50%"
"59";"P 20";"1095";"27";"1797";"932";"0";"0";"2.09";"2.14";"-";"-";"100%,50%"
"60";"P 20";"1108";"13";"1877";"1038";"0";"0";"2.09";"0";"-";"-";"100%,25%,50%"
"61";"P 20";"1135";"26";"1754";"1131";"0";"0";"2.05";"2.17";"-";"-";"10%,100%,25%,50%"
"62";"P 20";"1149";"13";"1857";"1038";"0";"0";"2.04";"2.11";"-";"-";"100%,25%,50%"
"63";"P 20";"1162";"13";"1714";"915";"0";"0";"0";"2.13";"-";"-";"100%,50%"
"64";"P 20";"1176";"13";"1853";"925";"0";"0";"2.03";"0";"-";"-";"100%,50%"
"65";"P 20";"1203";"27";"1817";"1041";"0";"0";"2";"2.04";"-";"-";"100%,25%,50%"
"66";"P 20";"1230";"27";"1844";"875";"0";"0";"2.04";"2.11";"-";"-";"100%,50%"
"67";"P 20";"1243";"13";"1824";"975";"0";"0";"2.12";"0";"-";"-";"100%,25%,50%"
"68";"P 20";"1271";"27";"1734";"879";"0";"0";"0";"2.13";"-";"-";"100%,50%"
"69";"P 20";"1284";"13";"1787";"942";"0";"0";"1.93";"2.08";"-";"-";"100%,25%,50%"
"70";"P 20";"1338";"53";"1790";"958";"0";"0";"0";"2.03";"-";"-";"100%,25%,50%"
"71";"P 20";"1352";"13";"1747";"1001";"0";"0";"1.93";"0";"-";"-";"100%,25%,50%"
"72";"P 20";"1406";"54";"1820";"845";"0";"0";"1.95";"0";"-";"-";"100%,50%"
"73";"P 20";"1419";"13";"1741";"965";"0";"0";"0";"2.11";"-";"-";"100%,25%,50%"
"74";"P 20";"1433";"13";"1734";"1091";"0";"0";"1.9";"0";"-";"-";"100%,25%,50%"
"75";"P 20";"1473";"40";"1711";"872";"0";"0";"0";"2.06";"-";"-";"100%,50%"
"76";"P 20";"1541";"67";"1790";"693";"0";"0";"1.98";"0";"-";"-";"100%,50%"
"77";"P 20";"1554";"13";"1767";"889";"0";"0";"1.95";"1.99";"-";"-";"100%,50%"
"78";"P 20";"1568";"13";"1794";"985";"0";"0";"0";"2.05";"-";"-";"100%,25%,50%"
"79";"P 20";"1582";"13";"1774";"839";"0";"0";"0";"2.01";"-";"-";"100%,50%"
"80";"P 20";"1595";"13";"1764";"945";"0";"0";"1.97";"1.98";"-";"-";"100%,25%,50%"
"81";"P 20";"1609";"13";"1837";"912";"0";"0";"2.05";"0";"-";"-";"100%,50%"
"82";"P 20";"1622";"13";"1834";"872";"0";"0";"0";"2.04";"-";"-";"100%,50%"
"83";"P 20";"1635";"13";"1807";"736";"0";"0";"1.98";"2.09";"-";"-";"100%,50%"
"84";"P 20";"1663";"27";"1810";"845";"0";"0";"2.01";"0";"-";"-";"100%,50%"
"85";"P 20";"1676";"13";"1747";"912";"0";"0";"2.03";"2.06";"-";"-";"100%,50%"
"86";"P 20";"1690";"13";"1741";"968";"0";"0";"2.13";"0";"-";"-";"100%,25%,50%"
"87";"P 20";"1703";"13";"1830";"1107";"0";"0";"2.02";"2.13";"-";"-";"100%,25%,50%"
"88";"P 20";"1717";"13";"1767";"895";"0";"0";"2.07";"0";"-";"-";"100%,50%"
"89";"P 20";"1730";"13";"1674";"955";"0";"0";"2.02";"0";"-";"-";"100%,25%,50%"
"90";"P 20";"1743";"13";"1794";"932";"0";"0";"2.01";"0";"-";"-";"100%,50%"
"91";"P 20";"1757";"13";"1774";"1041";"0";"0";"2.03";"0";"-";"-";"100%,25%,50%"
"92";"P 20";"1771";"13";"1790";"859";"0";"0";"1.99";"0";"-";"-";"100%,50%"
"93";"P 20";"1784";"13";"1731";"945";"0";"0";"2.06";"0";"-";"-";"100%,25%,50%"
"94";"P 20";"1798";"13";"1787";"849";"0";"0";"1.97";"0";"-";"-";"100%,50%"
"95";"P 20";"1825";"27";"1966";"1300";"0";"0";"2.07";"2.12";"-";"-";"100%,25%,50%"
"96";"P 20";"1838";"13";"1820";"1008";"0";"0";"2.14";"2.09";"-";"-";"100%,25%,50%"
"97";"P 20";"1852";"13";"1850";"713";"0";"0";"0";"2.07";"-";"-";"100%,50%"
"98";"P 20";"1865";"13";"1810";"1157";"0";"0";"2.06";"0";"-";"-";"10%,100%,25%,50%"
"99";"P 20";"1879";"13";"1837";"1204";"0";"0";"2.01";"2";"-";"-";"10%,100%,25%,50%"
"100";"P 20";"1893";"13";"1781";"842";"0";"0";"0";"2.07";"-";"-";"100%,50%"
"101";"P 20";"1920";"27";"1933";"1074";"0";"0";"2.03";"0";"-";"-";"100%,25%,50%"
"102";"P 20";"1933";"13";"1923";"1154";"0";"0";"2.05";"2.14";"-";"-";"100%,25%,50%"
"103";"P 20";"1947";"13";"1834";"958";"0";"0";"0";"2.09";"-";"-";"100%,25%,50%"
"104";"P 20";"1960";"13";"1897";"1160";"0";"0";"2.04";"0";"-";"-";"100%,25%,50%"
"105";"P 20";"1974";"13";"1873";"935";"0";"0";"2.13";"2.14";"-";"-";"100%,50%"
"106";"P 20";"1987";"13";"1900";"1051";"0";"0";"2.07";"0";"-";"-";"100%,25%,50%"
"107";"P 20";"2000";"13";"1844";"1197";"0";"0";"2.16";"0";"-";"-";"10%,100%,25%,50%"
"108";"P 20";"2014";"13";"1923";"1247";"0";"0";"2.17";"2.14";"-";"-";"100%,25%,50%"
"109";"P 20";"2028";"13";"1847";"1170";"0";"0";"2.22";"2.15";"-";"-";"10%,100%,25%,50%"
"110";"P 20";"2041";"13";"1787";"902";"0";"0";"0";"2.18";"-";"-";"100%,50%"
"111";"P 20";"2055";"13";"1844";"1074";"0";"0";"2.11";"2.23";"-";"-";"100%,25%,50%"
"112";"P 20";"2068";"13";"1810";"1058";"0";"0";"2.17";"2.17";"-";"-";"100%,25%,50%"
"113";"P 20";"2082";"13";"1844";"1104";"0";"0";"2.13";"2.22";"-";"-";"100%,25%,50%"
"114";"P 20";"2095";"13";"1711";"1210";"0";"0";"0";"2.22";"-";"-";"10%,100%,25%,50%"
"115";"P 20";"2109";"13";"1701";"1021";"0";"0";"2.12";"2.24";"-";"-";"100%,25%,50%"
"116";"P 20";"2136";"26";"1691";"1008";"0";"0";"2.17";"0";"-";"-";"100%,25%,50%"
"117";"P 20";"2149";"13";"1761";"912";"0";"0";"2.13";"0";"-";"-";"100%,50%"
"118";"P 20";"2163";"13";"1747";"1078";"0";"0";"2.14";"2.16";"-";"-";"100%,25%,50%"
"119";"P 20";"2176";"13";"1857";"1114";"0";"0";"2.13";"0";"-";"-";"100%,25%,50%"
"120";"P 20";"2190";"13";"1834";"1316";"0";"0";"2.19";"2.18";"-";"-";"10%,100%,25%,50%"
"121";"P 20";"2203";"13";"1830";"1134";"0";"0";"2.14";"0";"-";"-";"100%,25%,50%"
"122";"P 20";"2258";"54";"1837";"1227";"0";"0";"2.18";"0";"-";"-";"10%,100%,25%,50%"
"123";"P 20";"2285";"27";"1820";"988";"0";"0";"2.09";"2.18";"-";"-";"100%,25%,50%"
"124";"P 20";"2298";"13";"1681";"885";"0";"0";"0";"2.14";"-";"-";"100%,50%"
"125";"P 20";"2312";"13";"1771";"1200";"0";"0";"2.16";"0";"-";"-";"10%,100%,25%,50%"
"126";"P 20";"2325";"13";"1817";"1005";"0";"0";"2.14";"0";"-";"-";"100%,25%,50%"
"127";"P 20";"2339";"13";"1721";"1031";"0";"0";"2.09";"0";"-";"-";"100%,25%,50%"
"128";"P 20";"2352";"13";"1800";"1011";"0";"0";"2.13";"2.21";"-";"-";"100%,25%,50%"
"129";"P 20";"2379";"26";"1734";"1111";"0";"0";"2.08";"0";"-";"-";"100%,25%,50%"
"130";"P 20";"2393";"13";"1734";"985";"0";"0";"2.17";"0";"-";"-";"100%,25%,50%"
