"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 22";"0";"0";"1900";"908";"0";"0";"4.28";"4.54";"2387";"1024";"100%,50%"
"2";"P 22";"19";"19";"1897";"938";"0";"0";"4.25";"4.56";"2387";"1024";"100%,50%"
"3";"P 22";"39";"19";"1883";"865";"0";"0";"4.24";"0";"2387";"1024";"100%,50%"
"4";"P 22";"59";"19";"1976";"816";"0";"0";"0";"4.57";"2387";"1024";"100%,50%"
"5";"P 22";"78";"19";"2042";"849";"0";"0";"0";"4.57";"2387";"1024";"100%,50%"
"6";"P 22";"98";"19";"1873";"908";"0";"0";"4.3";"4.6";"2387";"1024";"100%,50%"
"7";"P 22";"118";"19";"1860";"859";"0";"0";"4.31";"4.56";"2387";"1024";"100%,50%"
"8";"P 22";"137";"19";"1930";"935";"0";"0";"4.34";"4.56";"2387";"1024";"100%,50%"
"9";"P 22";"157";"19";"1907";"859";"0";"0";"4.26";"4.58";"2387";"1024";"100%,50%"
"10";"P 22";"177";"19";"1936";"869";"0";"0";"0";"4.55";"2387";"1024";"100%,50%"
"11";"P 22";"196";"19";"1930";"922";"0";"0";"4.37";"4.56";"2387";"1024";"100%,50%"
"12";"P 22";"216";"19";"1900";"855";"0";"0";"4.32";"4.56";"2387";"1024";"100%,50%"
"13";"P 22";"236";"19";"1950";"872";"0";"0";"4.36";"4.6";"2387";"1024";"100%,50%"
"14";"P 22";"255";"19";"1893";"862";"0";"0";"4.33";"4.58";"2387";"1024";"100%,50%"
"15";"P 22";"275";"19";"1910";"852";"0";"0";"4.35";"4.65";"2387";"1024";"100%,50%"
"16";"P 22";"295";"19";"1913";"908";"0";"0";"4.35";"0";"2387";"1024";"100%,50%"
"17";"P 22";"315";"19";"1910";"832";"0";"0";"4.36";"0";"2387";"1024";"100%,50%"
"18";"P 22";"334";"19";"1933";"869";"0";"0";"4.37";"4.65";"2387";"1024";"100%,50%"
"19";"P 22";"354";"19";"1960";"875";"0";"0";"4.41";"4.69";"2387";"1024";"100%,50%"
"20";"P 22";"374";"19";"1926";"872";"0";"0";"4.34";"4.66";"2387";"1024";"100%,50%"
"21";"P 22";"393";"19";"1936";"872";"0";"0";"4.43";"4.67";"2387";"1024";"100%,50%"
"22";"P 22";"413";"19";"1926";"882";"0";"0";"4.38";"4.73";"2387";"1024";"100%,50%"
"23";"P 22";"433";"19";"1940";"882";"0";"0";"4.42";"4.71";"2387";"1024";"100%,50%"
"24";"P 22";"452";"19";"1943";"872";"0";"0";"4.45";"4.78";"2387";"1024";"100%,50%"
"25";"P 22";"472";"19";"1970";"905";"0";"0";"4.47";"0";"2387";"1024";"100%,50%"
"26";"P 22";"492";"19";"1956";"1001";"0";"0";"4.45";"4.77";"2387";"1024";"100%,50%"
"27";"P 22";"512";"19";"1953";"918";"0";"0";"4.5";"0";"2387";"1024";"100%,50%"
"28";"P 22";"531";"19";"1774";"922";"0";"0";"4.47";"4.88";"2387";"1024";"100%,50%"
"29";"P 22";"551";"19";"1611";"988";"0";"0";"4.48";"4.83";"2387";"1024";"100%,25%,50%"
