"GP-No";"Name";"Time";"Timegap";"X";"Y";"X-offset";"Y-offset";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"Mouse X-coord";"Mouse Y-coord";"AoI"
"1";"P 46";"0";"0";"3034";"2367";"0";"0";"6.62";"5.74";"-";"-";"-"
"2";"P 46";"13";"13";"2533";"2390";"0";"0";"6.51";"5.78";"-";"-";"-"
"3";"P 46";"26";"13";"2052";"2341";"0";"0";"6.47";"0";"-";"-";"100%"
"4";"P 46";"40";"13";"2026";"1953";"0";"0";"6.49";"5.86";"-";"-";"100%"
"5";"P 46";"53";"13";"2016";"1598";"0";"0";"6.5";"5.78";"-";"-";"100%,50%"
"6";"P 46";"67";"13";"2006";"1472";"0";"0";"6.46";"5.8";"-";"-";"100%,50%"
"7";"P 46";"80";"13";"1989";"1376";"0";"0";"6.38";"5.73";"-";"-";"100%,25%,50%"
"8";"P 46";"94";"13";"2013";"1349";"0";"0";"6.46";"5.85";"-";"-";"100%,25%,50%"
"9";"P 46";"107";"13";"1993";"1336";"0";"0";"6.45";"5.78";"-";"-";"100%,25%,50%"
"10";"P 46";"121";"13";"2006";"1316";"0";"0";"6.46";"0";"-";"-";"100%,25%,50%"
"11";"P 46";"134";"13";"2019";"1253";"0";"0";"6.48";"5.82";"-";"-";"100%,25%,50%"
"12";"P 46";"148";"13";"1970";"1260";"0";"0";"6.44";"5.79";"-";"-";"100%,25%,50%"
"13";"P 46";"161";"13";"2013";"1286";"0";"0";"6.49";"5.79";"-";"-";"100%,25%,50%"
"14";"P 46";"175";"13";"1976";"1210";"0";"0";"6.5";"5.81";"-";"-";"100%,25%,50%"
"15";"P 46";"188";"13";"2013";"1237";"0";"0";"6.5";"5.86";"-";"-";"100%,25%,50%"
"16";"P 46";"202";"13";"1999";"1267";"0";"0";"6.52";"5.84";"-";"-";"100%,25%,50%"
"17";"P 46";"215";"13";"1970";"1250";"0";"0";"6.51";"5.83";"-";"-";"100%,25%,50%"
"18";"P 46";"229";"13";"1744";"1127";"0";"0";"6.55";"5.88";"-";"-";"10%,100%,25%,50%"
"19";"P 46";"242";"13";"1747";"1094";"0";"0";"6.56";"5.86";"-";"-";"100%,25%,50%"
"20";"P 46";"256";"13";"1767";"1068";"0";"0";"6.55";"5.86";"-";"-";"100%,25%,50%"
"21";"P 46";"269";"13";"1731";"1011";"0";"0";"6.51";"5.82";"-";"-";"100%,25%,50%"
